v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,46185,7251,38934,0.0,0.0,0,38.328229919214216,14.0,7,12,False,"{3: 80, 2: 63, 1: 0, 6: 93, 0: 36, 4: 70, 5: 99}","{(0, 1): [(36, 60), (60, 0)], (0, 4): [(36, 70)], (0, 5): [(36, 44), (44, 99)], (0, 6): []}","{(3, 80): {'cpu': 17}, (2, 63): {'cpu': 13}, (1, 0): {'cpu': 12}, (6, 93): {'cpu': 10}, (0, 36): {'cpu': 9}, (4, 70): {'cpu': 1}, (5, 99): {'cpu': 1}}","{((0, 1), (36, 60)): {'bw': 25}, ((0, 1), (60, 0)): {'bw': 25}, ((0, 4), (36, 70)): {'bw': 22}, ((0, 5), (36, 44)): {'bw': 28}, ((0, 5), (44, 99)): {'bw': 28}}",0.0,0.0,438.0,63.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.275087553762,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -72}, 2: {'cpu': -82}, 1: {'cpu': -75}, 6: {'cpu': -87}, 0: {'cpu': -82}, 4: {'cpu': -96}, 5: {'cpu': -95}}, 'link_level': {(0, 1): {'bw': -38}, (0, 4): {'bw': -64}, (0, 5): {'bw': -55}, (0, 6): {'bw': -8}}, 'path_level': {(0, 1): {'latency': -1.716632373205373}, (0, 4): {'latency': -2.2202548089542313}, (0, 5): {'latency': -3.299125233366034}, (0, 6): {'latency': 4.275087553762}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 4.275087553762}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,4.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,29.0,46185,7251,38934,0.0,0.0,1,773.1176599127975,29.0,10,24,False,"{6: 80, 8: 63, 9: 0, 4: 93, 1: 36, 0: 70, 2: 99, 7: 64, 3: 88, 5: 84}","{(0, 3): [(70, 36), (36, 88)], (0, 4): [(70, 97), (97, 24), (24, 93)], (0, 5): [(70, 13), (13, 84)], (0, 6): [(70, 97), (97, 5), (5, 80)], (0, 7): [(70, 50), (50, 64)], (0, 8): []}","{(6, 80): {'cpu': 17}, (8, 63): {'cpu': 15}, (9, 0): {'cpu': 13}, (4, 93): {'cpu': 11}, (1, 36): {'cpu': 7}, (0, 70): {'cpu': 6}, (2, 99): {'cpu': 5}, (7, 64): {'cpu': 4}, (3, 88): {'cpu': 3}, (5, 84): {'cpu': 1}}","{((0, 3), (70, 36)): {'bw': 49}, ((0, 3), (36, 88)): {'bw': 49}, ((0, 4), (70, 97)): {'bw': 6}, ((0, 4), (97, 24)): {'bw': 6}, ((0, 4), (24, 93)): {'bw': 6}, ((0, 5), (70, 13)): {'bw': 50}, ((0, 5), (13, 84)): {'bw': 50}, ((0, 6), (70, 97)): {'bw': 11}, ((0, 6), (97, 5)): {'bw': 11}, ((0, 6), (5, 80)): {'bw': 11}, ((0, 7), (70, 50)): {'bw': 44}, ((0, 7), (50, 64)): {'bw': 44}}",0.0,0.0,753.0,82.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2.8999644632410577,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -72}, 8: {'cpu': -80}, 9: {'cpu': -74}, 4: {'cpu': -86}, 1: {'cpu': -84}, 0: {'cpu': -91}, 2: {'cpu': -91}, 7: {'cpu': -87}, 3: {'cpu': -79}, 5: {'cpu': -86}}, 'link_level': {(0, 3): {'bw': -37}, (0, 4): {'bw': -60}, (0, 5): {'bw': -6}, (0, 6): {'bw': -68}, (0, 7): {'bw': -10}, (0, 8): {'bw': -6}}, 'path_level': {(0, 3): {'latency': -2.5230622994074063}, (0, 4): {'latency': -2.771162173628854}, (0, 5): {'latency': -5.013785031295599}, (0, 6): {'latency': -2.300037191527297}, (0, 7): {'latency': -2.2056173240222217}, (0, 8): {'latency': 2.8999644632410577}}}","{'node_level': {6: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 2.8999644632410577}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,6.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,44.0,46185,7251,38934,0.0,0.0,2,33.10586933986429,44.0,7,7,False,"{6: 80, 0: 63, 1: 0, 3: 93, 5: 36, 4: 70, 2: 99}","{(0, 4): [(63, 2), (2, 70)], (0, 5): []}","{(6, 80): {'cpu': 20}, (0, 63): {'cpu': 19}, (1, 0): {'cpu': 19}, (3, 93): {'cpu': 16}, (5, 36): {'cpu': 15}, (4, 70): {'cpu': 11}, (2, 99): {'cpu': 6}}","{((0, 4), (63, 2)): {'bw': 10}, ((0, 4), (2, 70)): {'bw': 10}}",0.0,0.0,294.0,106.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.378029090651399,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -69}, 0: {'cpu': -76}, 1: {'cpu': -68}, 3: {'cpu': -81}, 5: {'cpu': -76}, 4: {'cpu': -86}, 2: {'cpu': -90}}, 'link_level': {(0, 4): {'bw': -53}, (0, 5): {'bw': -15}}, 'path_level': {(0, 4): {'latency': -6.354984229687006}, (0, 5): {'latency': 5.378029090651399}}}","{'node_level': {6: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 5): {'bw': 0}}, 'path_level': {(0, 4): {'latency': 0}, (0, 5): {'latency': 5.378029090651399}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,2.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,52.328229919214216,46185,7251,38934,0.0,0.0,0,38.328229919214216,14.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,58.0,46185,7251,38934,0.0,0.0,3,219.49313001628371,58.0,2,1,False,"{1: 80, 0: 63}","{(0, 1): []}","{(1, 80): {'cpu': 12}, (0, 63): {'cpu': 4}}",{},0.0,0.0,20.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.115670330494635,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 0: {'cpu': -91}}, 'link_level': {(0, 1): {'bw': -47}}, 'path_level': {(0, 1): {'latency': 5.115670330494635}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 5.115670330494635}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,2.0,1.0
5,1,1,66.0,105.0,93868.66447724175,149336.51166833914,0.6285714285714286,0.6285714285714286,2,5,1,73.0,46080,7224,38856,0.0037236243276789205,0.0020033903529048658,4,1422.2524920794203,73.0,2,1,True,"{0: 80, 1: 63}","{(0, 1): [(80, 5), (5, 63)]}","{(0, 80): {'cpu': 18}, (1, 63): {'cpu': 9}}","{((0, 1), (80, 5)): {'bw': 39}, ((0, 1), (5, 63)): {'bw': 39}}",105.0,66.0,66.0,27.0,39.0,27.0,39.0,27.0,78.0,39.0,0.6285714285714286,149336.51166833914,93868.66447724175,893.9872807356356,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -71}, 1: {'cpu': -86}}, 'link_level': {(0, 1): {'bw': -40}}, 'path_level': {(0, 1): {'latency': -3.280506883306903}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
5,1,1,66.0,105.0,93868.66447724175,149336.51166833914,0.6285714285714286,0.6285714285714286,2,6,0,77.10586933986428,46080,7224,38856,0.0037236243276789205,0.0020033903529048658,2,33.10586933986429,44.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
6,2,2,138.0,249.0,111066.53306420676,183732.24884226915,0.5542168674698795,0.6045021152468197,5,7,1,82.0,45936,7188,38748,0.008688456764584185,0.004777315456927056,5,238.85928593006952,82.0,3,2,True,"{0: 0, 2: 93, 1: 36}","{(0, 2): [(0, 58), (58, 24), (24, 93)], (1, 2): [(36, 87), (87, 47), (47, 93)]}","{(0, 0): {'cpu': 16}, (2, 93): {'cpu': 12}, (1, 36): {'cpu': 8}}","{((0, 2), (0, 58)): {'bw': 3}, ((0, 2), (58, 24)): {'bw': 3}, ((0, 2), (24, 93)): {'bw': 3}, ((1, 2), (36, 87)): {'bw': 33}, ((1, 2), (87, 47)): {'bw': 33}, ((1, 2), (47, 93)): {'bw': 33}}",144.0,72.0,72.0,36.0,36.0,36.0,36.0,36.0,108.0,72.0,0.5,34395.737173930014,17197.868586965007,119.42964296503476,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -71}, 2: {'cpu': -85}, 1: {'cpu': -83}}, 'link_level': {(0, 2): {'bw': -55}, (1, 2): {'bw': -24}}, 'path_level': {(0, 2): {'latency': -0.5754729842150628}, (1, 2): {'latency': -4.1066776668157186}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (1, 2): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,3.0,2.0
7,2,2,138.0,249.0,111066.53306420676,183732.24884226915,0.5542168674698795,0.6045021152468197,5,8,1,101.0,45936,7188,38748,0.008688456764584185,0.004777315456927056,6,719.678975926222,101.0,9,19,False,"{2: 70, 4: 99, 7: 64, 6: 88, 3: 84, 8: 86, 0: 26, 5: 59, 1: 63}","{(0, 3): [(26, 83), (83, 13), (13, 84)], (0, 5): [(26, 59)], (0, 6): [(26, 29), (29, 88)], (0, 7): [(26, 50), (50, 64)], (1, 4): [(63, 47), (47, 99)], (1, 5): [(63, 88), (88, 59)], (1, 6): []}","{(2, 70): {'cpu': 20}, (4, 99): {'cpu': 18}, (7, 64): {'cpu': 16}, (6, 88): {'cpu': 14}, (3, 84): {'cpu': 12}, (8, 86): {'cpu': 11}, (0, 26): {'cpu': 6}, (5, 59): {'cpu': 6}, (1, 63): {'cpu': 3}}","{((0, 3), (26, 83)): {'bw': 30}, ((0, 3), (83, 13)): {'bw': 30}, ((0, 3), (13, 84)): {'bw': 30}, ((0, 5), (26, 59)): {'bw': 18}, ((0, 6), (26, 29)): {'bw': 18}, ((0, 6), (29, 88)): {'bw': 18}, ((0, 7), (26, 50)): {'bw': 47}, ((0, 7), (50, 64)): {'bw': 47}, ((1, 4), (63, 47)): {'bw': 8}, ((1, 4), (47, 99)): {'bw': 8}, ((1, 5), (63, 88)): {'bw': 18}, ((1, 5), (88, 59)): {'bw': 18}}",0.0,0.0,604.0,106.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.697901661449972,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -77}, 4: {'cpu': -78}, 7: {'cpu': -75}, 6: {'cpu': -68}, 3: {'cpu': -75}, 8: {'cpu': -77}, 0: {'cpu': -94}, 5: {'cpu': -87}, 1: {'cpu': -83}}, 'link_level': {(0, 3): {'bw': -26}, (0, 5): {'bw': -38}, (0, 6): {'bw': -57}, (0, 7): {'bw': -7}, (1, 4): {'bw': -60}, (1, 5): {'bw': -37}, (1, 6): {'bw': -17}}, 'path_level': {(0, 3): {'latency': -4.127314163957075}, (0, 5): {'latency': -8.517271329664739}, (0, 6): {'latency': -4.129170548016948}, (0, 7): {'latency': -7.865041863278994}, (1, 4): {'latency': -0.19572760848654092}, (1, 5): {'latency': -1.0873588733710307}, (1, 6): {'latency': 4.697901661449972}}}","{'node_level': {2: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (1, 4): {'latency': 0}, (1, 5): {'latency': 0}, (1, 6): {'latency': 4.697901661449972}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,7.0
8,2,2,138.0,249.0,111066.53306420676,183732.24884226915,0.5542168674698795,0.6045021152468197,5,9,1,109.0,45936,7188,38748,0.008688456764584185,0.004777315456927056,7,738.317450729603,109.0,8,16,False,"{4: 70, 3: 99, 7: 64, 0: 88, 6: 84, 1: 86, 5: 26, 2: 59}","{(0, 1): [(88, 90), (90, 22), (22, 86)], (0, 2): [(88, 59)], (0, 3): [(88, 27), (27, 99)], (0, 4): [(88, 36), (36, 70)], (0, 5): [(88, 29), (29, 26)], (0, 6): [(88, 28), (28, 84)], (0, 7): [(88, 14), (14, 64)], (1, 2): []}","{(4, 70): {'cpu': 9}, (3, 99): {'cpu': 8}, (7, 64): {'cpu': 7}, (0, 88): {'cpu': 6}, (6, 84): {'cpu': 5}, (1, 86): {'cpu': 3}, (5, 26): {'cpu': 2}, (2, 59): {'cpu': 1}}","{((0, 1), (88, 90)): {'bw': 34}, ((0, 1), (90, 22)): {'bw': 34}, ((0, 1), (22, 86)): {'bw': 34}, ((0, 2), (88, 59)): {'bw': 10}, ((0, 3), (88, 27)): {'bw': 4}, ((0, 3), (27, 99)): {'bw': 4}, ((0, 4), (88, 36)): {'bw': 15}, ((0, 4), (36, 70)): {'bw': 15}, ((0, 5), (88, 29)): {'bw': 21}, ((0, 5), (29, 26)): {'bw': 21}, ((0, 6), (88, 28)): {'bw': 36}, ((0, 6), (28, 84)): {'bw': 36}, ((0, 7), (88, 14)): {'bw': 29}, ((0, 7), (14, 64)): {'bw': 29}}",0.0,0.0,419.0,41.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,9.499450633158094,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -88}, 3: {'cpu': -88}, 7: {'cpu': -84}, 0: {'cpu': -76}, 6: {'cpu': -82}, 1: {'cpu': -85}, 5: {'cpu': -98}, 2: {'cpu': -92}}, 'link_level': {(0, 1): {'bw': -27}, (0, 2): {'bw': -63}, (0, 3): {'bw': -66}, (0, 4): {'bw': -71}, (0, 5): {'bw': -54}, (0, 6): {'bw': -18}, (0, 7): {'bw': -39}, (1, 2): {'bw': -8}}, 'path_level': {(0, 1): {'latency': -1.3089154659553799}, (0, 2): {'latency': -4.073301319158738}, (0, 3): {'latency': -3.254686161322997}, (0, 4): {'latency': -2.1670660635726287}, (0, 5): {'latency': -4.249929226219553}, (0, 6): {'latency': -2.8613505975743863}, (0, 7): {'latency': -5.234128897879733}, (1, 2): {'latency': 9.499450633158094}}}","{'node_level': {4: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (1, 2): {'latency': 9.499450633158094}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,8.0,8.0
