v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,44538,7580,36958,0.0,0.0,0,520.6637651709117,11.0,10,19,False,"{4: 61, 2: 11, 5: 39, 3: 51, 8: 66, 0: 31, 1: 37, 6: 91, 7: 63, 9: 49}","{(0, 3): []}","{(4, 61): {'cpu': 8}, (2, 11): {'cpu': 16}, (5, 39): {'cpu': 4}, (3, 51): {'cpu': 8}, (8, 66): {'cpu': 15}, (0, 31): {'cpu': 10}, (1, 37): {'cpu': 7}, (6, 91): {'cpu': 12}, (7, 63): {'cpu': 12}, (9, 49): {'cpu': 11}}",{},0.0,0.0,691.0,103.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3.3237126103309946,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -88}, 2: {'cpu': -83}, 5: {'cpu': -48}, 3: {'cpu': -92}, 8: {'cpu': -67}, 0: {'cpu': -45}, 1: {'cpu': -62}, 6: {'cpu': -61}, 7: {'cpu': -57}, 9: {'cpu': -85}}, 'link_level': {(0, 3): {'bw': -48}}, 'path_level': {(0, 3): {'latency': 3.3237126103309946}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 3.3237126103309946}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,1.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,25.0,44538,7580,36958,0.0,0.0,1,1583.2089406321106,25.0,10,17,False,"{2: 61, 1: 11, 4: 39, 7: 51, 8: 66, 0: 31, 5: 37, 9: 91, 3: 63, 6: 49}","{(0, 1): [(31, 11)], (0, 4): [(31, 39)], (0, 6): [(31, 11), (11, 49)], (1, 2): [(11, 31), (31, 61)], (1, 5): [(11, 8), (8, 37)], (1, 9): [(11, 91)], (2, 3): [(61, 60), (60, 63)], (2, 4): [(61, 54), (54, 39)], (2, 6): [(61, 60), (60, 49)], (2, 8): []}","{(2, 61): {'cpu': 18}, (1, 11): {'cpu': 19}, (4, 39): {'cpu': 1}, (7, 51): {'cpu': 18}, (8, 66): {'cpu': 4}, (0, 31): {'cpu': 16}, (5, 37): {'cpu': 11}, (9, 91): {'cpu': 9}, (3, 63): {'cpu': 12}, (6, 49): {'cpu': 20}}","{((0, 1), (31, 11)): {'bw': 19}, ((0, 4), (31, 39)): {'bw': 43}, ((0, 6), (31, 11)): {'bw': 9}, ((0, 6), (11, 49)): {'bw': 9}, ((1, 2), (11, 31)): {'bw': 45}, ((1, 2), (31, 61)): {'bw': 45}, ((1, 5), (11, 8)): {'bw': 49}, ((1, 5), (8, 37)): {'bw': 49}, ((1, 9), (11, 91)): {'bw': 29}, ((2, 3), (61, 60)): {'bw': 29}, ((2, 3), (60, 63)): {'bw': 29}, ((2, 4), (61, 54)): {'bw': 28}, ((2, 4), (54, 39)): {'bw': 28}, ((2, 6), (61, 60)): {'bw': 15}, ((2, 6), (60, 49)): {'bw': 15}}",0.0,0.0,604.0,128.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2.4882504108176757,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -78}, 1: {'cpu': -80}, 4: {'cpu': -51}, 7: {'cpu': -82}, 8: {'cpu': -78}, 0: {'cpu': -39}, 5: {'cpu': -58}, 9: {'cpu': -64}, 3: {'cpu': -57}, 6: {'cpu': -76}}, 'link_level': {(0, 1): {'bw': -64}, (0, 4): {'bw': -23}, (0, 6): {'bw': -55}, (1, 2): {'bw': -10}, (1, 5): {'bw': -6}, (1, 9): {'bw': -27}, (2, 3): {'bw': -21}, (2, 4): {'bw': -39}, (2, 6): {'bw': -6}, (2, 8): {'bw': -30}}, 'path_level': {(0, 1): {'latency': -11.797705132212585}, (0, 4): {'latency': -10.77369029689496}, (0, 6): {'latency': -5.315728491933562}, (1, 2): {'latency': -3.536456368805103}, (1, 5): {'latency': -2.727587139140536}, (1, 9): {'latency': -5.066583147850974}, (2, 3): {'latency': -10.685904816917983}, (2, 4): {'latency': -8.128836679272077}, (2, 6): {'latency': -12.216200727848337}, (2, 8): {'latency': 2.4882504108176757}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (1, 9): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 6): {'bw': 0}, (2, 8): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 0}, (1, 9): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 6): {'latency': 0}, (2, 8): {'latency': 2.4882504108176757}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,10.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,41.0,44538,7580,36958,0.0,0.0,2,813.4246276820088,41.0,8,17,False,"{1: 61, 3: 11, 4: 39, 6: 51, 0: 66, 2: 31, 7: 37, 5: 91}","{(0, 1): []}","{(1, 61): {'cpu': 20}, (3, 11): {'cpu': 3}, (4, 39): {'cpu': 20}, (6, 51): {'cpu': 18}, (0, 66): {'cpu': 8}, (2, 31): {'cpu': 17}, (7, 37): {'cpu': 2}, (5, 91): {'cpu': 1}}",{},0.0,0.0,581.0,89.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.042494934513929,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -76}, 3: {'cpu': -96}, 4: {'cpu': -32}, 6: {'cpu': -82}, 0: {'cpu': -74}, 2: {'cpu': -38}, 7: {'cpu': -67}, 5: {'cpu': -72}}, 'link_level': {(0, 1): {'bw': -13}}, 'path_level': {(0, 1): {'latency': 6.042494934513929}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 6.042494934513929}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,8.0,1.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,58.0,44538,7580,36958,0.0,0.0,3,130.28381384066654,58.0,4,4,False,"{2: 61, 0: 11, 3: 39, 1: 51}","{(0, 1): [(11, 59), (59, 51)], (0, 2): [(11, 31), (31, 61)], (1, 3): []}","{(2, 61): {'cpu': 11}, (0, 11): {'cpu': 16}, (3, 39): {'cpu': 17}, (1, 51): {'cpu': 10}}","{((0, 1), (11, 59)): {'bw': 2}, ((0, 1), (59, 51)): {'bw': 2}, ((0, 2), (11, 31)): {'bw': 39}, ((0, 2), (31, 61)): {'bw': 39}}",0.0,0.0,119.0,54.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.440011054342754,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -85}, 0: {'cpu': -83}, 3: {'cpu': -35}, 1: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -56}, (0, 2): {'bw': -22}, (1, 3): {'bw': -48}}, 'path_level': {(0, 1): {'latency': -2.0927819395807106}, (0, 2): {'latency': -6.190771129860803}, (1, 3): {'latency': 8.440011054342754}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (1, 3): {'latency': 8.440011054342754}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,4.0,3.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,70.0,44538,7580,36958,0.0,0.0,4,1056.8178906254595,70.0,10,23,False,"{1: 61, 5: 11, 2: 39, 3: 51, 8: 66, 7: 31, 9: 37, 4: 91, 6: 63, 0: 49}","{(0, 1): [(49, 60), (60, 61)], (0, 2): []}","{(1, 61): {'cpu': 18}, (5, 11): {'cpu': 9}, (2, 39): {'cpu': 19}, (3, 51): {'cpu': 2}, (8, 66): {'cpu': 1}, (7, 31): {'cpu': 14}, (9, 37): {'cpu': 4}, (4, 91): {'cpu': 18}, (6, 63): {'cpu': 14}, (0, 49): {'cpu': 6}}","{((0, 1), (49, 60)): {'bw': 11}, ((0, 1), (60, 61)): {'bw': 11}}",0.0,0.0,733.0,105.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.223813794031492,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -78}, 5: {'cpu': -90}, 2: {'cpu': -33}, 3: {'cpu': -98}, 8: {'cpu': -81}, 7: {'cpu': -41}, 9: {'cpu': -65}, 4: {'cpu': -55}, 6: {'cpu': -55}, 0: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -39}, (0, 2): {'bw': -12}}, 'path_level': {(0, 1): {'latency': -11.640297221525818}, (0, 2): {'latency': 4.223813794031492}}}","{'node_level': {1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 4.223813794031492}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,2.0
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,83.0,44538,7580,36958,0.0,0.0,5,448.85271033200013,83.0,9,21,False,"{0: 61, 1: 11, 8: 39, 4: 51, 5: 66, 7: 31, 3: 37, 6: 91, 2: 63}","{(0, 2): [(61, 60), (60, 63)], (0, 3): [(61, 29), (29, 37)], (0, 4): [(61, 51)], (0, 5): [(61, 87), (87, 66)], (0, 7): [(61, 31)], (0, 8): []}","{(0, 61): {'cpu': 13}, (1, 11): {'cpu': 14}, (8, 39): {'cpu': 8}, (4, 51): {'cpu': 11}, (5, 66): {'cpu': 3}, (7, 31): {'cpu': 3}, (3, 37): {'cpu': 13}, (6, 91): {'cpu': 14}, (2, 63): {'cpu': 6}}","{((0, 2), (61, 60)): {'bw': 7}, ((0, 2), (60, 63)): {'bw': 7}, ((0, 3), (61, 29)): {'bw': 29}, ((0, 3), (29, 37)): {'bw': 29}, ((0, 4), (61, 51)): {'bw': 44}, ((0, 5), (61, 87)): {'bw': 38}, ((0, 5), (87, 66)): {'bw': 38}, ((0, 7), (61, 31)): {'bw': 37}}",0.0,0.0,560.0,85.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.201751914219581,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -85}, 8: {'cpu': -44}, 4: {'cpu': -89}, 5: {'cpu': -79}, 7: {'cpu': -52}, 3: {'cpu': -56}, 6: {'cpu': -59}, 2: {'cpu': -63}}, 'link_level': {(0, 2): {'bw': -43}, (0, 3): {'bw': -61}, (0, 4): {'bw': -48}, (0, 5): {'bw': -39}, (0, 7): {'bw': -24}, (0, 8): {'bw': -62}}, 'path_level': {(0, 2): {'latency': -5.202325129128439}, (0, 3): {'latency': -9.380118831143164}, (0, 4): {'latency': -9.95373492893896}, (0, 5): {'latency': -0.7530920008099518}, (0, 7): {'latency': -4.841624905243979}, (0, 8): {'latency': 6.201751914219581}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 5): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 6.201751914219581}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,6.0
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,99.0,44538,7580,36958,0.0,0.0,6,771.2922291675746,99.0,4,5,False,"{0: 61, 1: 11, 3: 39, 2: 51}","{(0, 1): [(61, 31), (31, 11)], (0, 2): [(61, 51)], (0, 3): [(61, 54), (54, 39)], (1, 2): [(11, 59), (59, 51)], (2, 3): []}","{(0, 61): {'cpu': 8}, (1, 11): {'cpu': 12}, (3, 39): {'cpu': 15}, (2, 51): {'cpu': 11}}","{((0, 1), (61, 31)): {'bw': 50}, ((0, 1), (31, 11)): {'bw': 50}, ((0, 2), (61, 51)): {'bw': 6}, ((0, 3), (61, 54)): {'bw': 25}, ((0, 3), (54, 39)): {'bw': 25}, ((1, 2), (11, 59)): {'bw': 9}, ((1, 2), (59, 51)): {'bw': 9}}",0.0,0.0,151.0,46.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,10.068722907576708,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -88}, 1: {'cpu': -87}, 3: {'cpu': -37}, 2: {'cpu': -89}}, 'link_level': {(0, 1): {'bw': -11}, (0, 2): {'bw': -86}, (0, 3): {'bw': -42}, (1, 2): {'bw': -49}, (2, 3): {'bw': -49}}, 'path_level': {(0, 1): {'latency': -2.4459171535127258}, (0, 2): {'latency': -5.765412562785592}, (0, 3): {'latency': -0.8373181725451975}, (1, 2): {'latency': -5.654234264831938}, (2, 3): {'latency': 10.068722907576708}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (1, 2): {'latency': 0}, (2, 3): {'latency': 10.068722907576708}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,4.0,5.0
8,1,1,109.0,176.0,41397.96379694346,66844.41860790871,0.6193181818181818,0.6193181818181819,3,7,1,114.0,44362,7538,36824,0.005540897097625286,0.003625737323448286,7,379.79783299948133,114.0,3,2,True,"{0: 61, 1: 11, 2: 39}","{(0, 1): [(61, 31), (31, 11)], (0, 2): [(61, 54), (54, 39)]}","{(0, 61): {'cpu': 19}, (1, 11): {'cpu': 16}, (2, 39): {'cpu': 7}}","{((0, 1), (61, 31)): {'bw': 47}, ((0, 1), (31, 11)): {'bw': 47}, ((0, 2), (61, 54)): {'bw': 20}, ((0, 2), (54, 39)): {'bw': 20}}",176.0,109.0,109.0,42.0,67.0,42.0,67.0,42.0,134.0,67.0,0.6193181818181818,66844.41860790871,41397.96379694346,235.21570339172422,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -77}, 1: {'cpu': -83}, 2: {'cpu': -45}}, 'link_level': {(0, 1): {'bw': -14}, (0, 2): {'bw': -47}}, 'path_level': {(0, 1): {'latency': -9.341864456472372}, (0, 2): {'latency': -9.565728649861278}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,3.0,2.0
9,2,2,347.0,516.0,452083.77453950595,653538.4339544266,0.6724806201550387,0.6917478009732956,7,8,1,127.0,44022,7452,36570,0.016886543535620024,0.010498403593268035,8,1725.5706333721112,127.0,7,10,True,"{2: 61, 5: 11, 4: 51, 1: 66, 3: 39, 0: 37, 6: 91}","{(0, 1): [(37, 43), (43, 15), (15, 66)], (0, 3): [(37, 8), (8, 39)], (0, 5): [(37, 8), (8, 11)], (1, 5): [(66, 73), (73, 11)], (1, 6): [(66, 15), (15, 38), (38, 91)], (2, 3): [(61, 54), (54, 39)], (2, 4): [(61, 51)], (2, 5): [(61, 36), (36, 11)], (4, 5): [(51, 59), (59, 11)], (4, 6): [(51, 91)]}","{(2, 61): {'cpu': 14}, (5, 11): {'cpu': 19}, (4, 51): {'cpu': 15}, (1, 66): {'cpu': 14}, (3, 39): {'cpu': 9}, (0, 37): {'cpu': 12}, (6, 91): {'cpu': 3}}","{((0, 1), (37, 43)): {'bw': 2}, ((0, 1), (43, 15)): {'bw': 2}, ((0, 1), (15, 66)): {'bw': 2}, ((0, 3), (37, 8)): {'bw': 3}, ((0, 3), (8, 39)): {'bw': 3}, ((0, 5), (37, 8)): {'bw': 4}, ((0, 5), (8, 11)): {'bw': 4}, ((1, 5), (66, 73)): {'bw': 21}, ((1, 5), (73, 11)): {'bw': 21}, ((1, 6), (66, 15)): {'bw': 1}, ((1, 6), (15, 38)): {'bw': 1}, ((1, 6), (38, 91)): {'bw': 1}, ((2, 3), (61, 54)): {'bw': 25}, ((2, 3), (54, 39)): {'bw': 25}, ((2, 4), (61, 51)): {'bw': 42}, ((2, 5), (61, 36)): {'bw': 21}, ((2, 5), (36, 11)): {'bw': 21}, ((4, 5), (51, 59)): {'bw': 22}, ((4, 5), (59, 11)): {'bw': 22}, ((4, 6), (51, 91)): {'bw': 11}}",340.0,238.0,238.0,86.0,152.0,86.0,152.0,86.0,254.0,102.0,0.7,586694.0153465178,410685.81074256246,1207.8994433604778,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -63}, 5: {'cpu': -64}, 4: {'cpu': -85}, 1: {'cpu': -68}, 3: {'cpu': -36}, 0: {'cpu': -57}, 6: {'cpu': -70}}, 'link_level': {(0, 1): {'bw': -70}, (0, 3): {'bw': -80}, (0, 5): {'bw': -51}, (1, 5): {'bw': -59}, (1, 6): {'bw': -70}, (2, 3): {'bw': -22}, (2, 4): {'bw': -50}, (2, 5): {'bw': -58}, (4, 5): {'bw': -36}, (4, 6): {'bw': -62}}, 'path_level': {(0, 1): {'latency': -1.936689666795191}, (0, 3): {'latency': -2.7130900618723697}, (0, 5): {'latency': -4.853608668589788}, (1, 5): {'latency': -0.7843761115783012}, (1, 6): {'latency': -1.1756007923481206}, (2, 3): {'latency': -7.723451655489696}, (2, 4): {'latency': -10.149204442145008}, (2, 5): {'latency': -0.9920333319623049}, (4, 5): {'latency': -6.656165948592003}, (4, 6): {'latency': -5.542258378858751}}}","{'node_level': {2: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (4, 5): {'bw': 0}, (4, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 5): {'latency': 0}, (1, 5): {'latency': 0}, (1, 6): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 5): {'latency': 0}, (4, 5): {'latency': 0}, (4, 6): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,7.0,10.0
10,2,2,347.0,516.0,452083.77453950595,653538.4339544266,0.6724806201550387,0.6917478009732956,7,9,1,133.0,44022,7452,36570,0.016886543535620024,0.010498403593268035,9,427.7783929664227,133.0,6,9,False,"{4: 61, 0: 11, 3: 66, 1: 91, 2: 39, 5: 37}","{(0, 1): [(11, 91)], (0, 2): [(11, 8), (8, 39)], (0, 3): [(11, 73), (73, 66)], (0, 4): [(11, 36), (36, 61)], (1, 4): [(91, 29), (29, 61)], (1, 5): [(91, 37)], (2, 3): []}","{(4, 61): {'cpu': 4}, (0, 11): {'cpu': 10}, (3, 66): {'cpu': 16}, (1, 91): {'cpu': 4}, (2, 39): {'cpu': 10}, (5, 37): {'cpu': 5}}","{((0, 1), (11, 91)): {'bw': 14}, ((0, 2), (11, 8)): {'bw': 13}, ((0, 2), (8, 39)): {'bw': 13}, ((0, 3), (11, 73)): {'bw': 28}, ((0, 3), (73, 66)): {'bw': 28}, ((0, 4), (11, 36)): {'bw': 34}, ((0, 4), (36, 61)): {'bw': 34}, ((1, 4), (91, 29)): {'bw': 38}, ((1, 4), (29, 61)): {'bw': 38}, ((1, 5), (91, 37)): {'bw': 7}}",0.0,0.0,237.0,49.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.10452954774304501,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -59}, 0: {'cpu': -54}, 3: {'cpu': -52}, 1: {'cpu': -66}, 2: {'cpu': -26}, 5: {'cpu': -52}}, 'link_level': {(0, 1): {'bw': -42}, (0, 2): {'bw': -38}, (0, 3): {'bw': -31}, (0, 4): {'bw': -24}, (1, 4): {'bw': -59}, (1, 5): {'bw': -59}, (2, 3): {'bw': -46}}, 'path_level': {(0, 1): {'latency': -10.013327568408252}, (0, 2): {'latency': -2.747233927633845}, (0, 3): {'latency': -0.3040575247744197}, (0, 4): {'latency': -7.388639659084789}, (1, 4): {'latency': -9.584146698555063}, (1, 5): {'latency': -1.7411188894303624}, (2, 3): {'latency': 0.10452954774304501}}}","{'node_level': {4: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (1, 4): {'latency': 0}, (1, 5): {'latency': 0}, (2, 3): {'latency': 0.10452954774304501}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,6.0,7.0
