v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,42634,7761,34873,0.0,0.0,0,69.22537333413192,11.0,10,20,False,"{1: 50, 4: 73, 3: 85, 2: 31, 5: 59, 8: 66, 6: 57, 9: 39, 0: 5, 7: 52}","{(0, 1): [(5, 31), (31, 50)], (0, 3): [(5, 6), (6, 85)], (0, 6): []}","{(1, 50): {'cpu': 16}, (4, 73): {'cpu': 16}, (3, 85): {'cpu': 18}, (2, 31): {'cpu': 20}, (5, 59): {'cpu': 14}, (8, 66): {'cpu': 14}, (6, 57): {'cpu': 5}, (9, 39): {'cpu': 3}, (0, 5): {'cpu': 2}, (7, 52): {'cpu': 1}}","{((0, 1), (5, 31)): {'bw': 42}, ((0, 1), (31, 50)): {'bw': 42}, ((0, 3), (5, 6)): {'bw': 50}, ((0, 3), (6, 85)): {'bw': 50}}",0.0,0.0,816.0,109.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,17.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 4: {'cpu': -71}, 3: {'cpu': -80}, 2: {'cpu': -59}, 5: {'cpu': -79}, 8: {'cpu': -52}, 6: {'cpu': -66}, 9: {'cpu': -84}, 0: {'cpu': -69}, 7: {'cpu': -86}}, 'link_level': {(0, 1): {'bw': -23}, (0, 3): {'bw': -1}, (0, 6): {'bw': 17}}, 'path_level': {(0, 1): {'latency': -2.9771600355434593}, (0, 3): {'latency': -7.214136098681687}, (0, 6): {'latency': 4.9200753412897855}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 17}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 6): {'latency': 4.9200753412897855}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,3.0
2,1,1,175.0,212.0,70509.09262466723,85416.72935102545,0.8254716981132075,0.8254716981132075,5,1,1,15.0,42422,7674,34748,0.01120989563200614,0.003584434949674531,1,402.9091007123842,15.0,5,5,True,"{1: 50, 3: 73, 4: 85, 0: 31, 2: 59}","{(0, 1): [(31, 50)], (0, 4): [(31, 6), (6, 85)], (1, 3): [(50, 55), (55, 73)], (1, 4): [(50, 85)], (2, 3): [(59, 73)]}","{(1, 50): {'cpu': 19}, (3, 73): {'cpu': 19}, (4, 85): {'cpu': 16}, (0, 31): {'cpu': 17}, (2, 59): {'cpu': 16}}","{((0, 1), (31, 50)): {'bw': 10}, ((0, 4), (31, 6)): {'bw': 14}, ((0, 4), (6, 85)): {'bw': 14}, ((1, 3), (50, 55)): {'bw': 23}, ((1, 3), (55, 73)): {'bw': 23}, ((1, 4), (50, 85)): {'bw': 28}, ((2, 3), (59, 73)): {'bw': 13}}",212.0,175.0,175.0,87.0,88.0,87.0,88.0,87.0,125.0,37.0,0.8254716981132075,85416.72935102545,70509.09262466723,332.59005955031716,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -68}, 3: {'cpu': -68}, 4: {'cpu': -82}, 0: {'cpu': -62}, 2: {'cpu': -77}}, 'link_level': {(0, 1): {'bw': -67}, (0, 4): {'bw': -39}, (1, 3): {'bw': -35}, (1, 4): {'bw': -22}, (2, 3): {'bw': -59}}, 'path_level': {(0, 1): {'latency': -6.240716268317854}, (0, 4): {'latency': -1.0058474925706076}, (1, 3): {'latency': -0.8768217825309987}, (1, 4): {'latency': -4.990826436588197}, (2, 3): {'latency': -11.549316848004782}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (2, 3): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0
3,1,1,175.0,212.0,70509.09262466723,85416.72935102545,0.8254716981132075,0.8254716981132075,5,2,1,30.0,42422,7674,34748,0.01120989563200614,0.003584434949674531,2,104.01345834808855,30.0,10,20,False,"{1: 66, 6: 57, 0: 73, 2: 50, 8: 39, 7: 5, 4: 85, 9: 59, 3: 52, 5: 60}","{(0, 1): [(73, 66)], (0, 3): [(73, 61), (61, 52)], (0, 5): [(73, 48), (48, 60)], (1, 2): []}","{(1, 66): {'cpu': 16}, (6, 57): {'cpu': 19}, (0, 73): {'cpu': 16}, (2, 50): {'cpu': 11}, (8, 39): {'cpu': 15}, (7, 5): {'cpu': 14}, (4, 85): {'cpu': 14}, (9, 59): {'cpu': 5}, (3, 52): {'cpu': 10}, (5, 60): {'cpu': 15}}","{((0, 1), (73, 66)): {'bw': 26}, ((0, 3), (73, 61)): {'bw': 38}, ((0, 3), (61, 52)): {'bw': 38}, ((0, 5), (73, 48)): {'bw': 27}, ((0, 5), (48, 60)): {'bw': 27}}",0.0,0.0,631.0,135.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.118094723254372,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -50}, 6: {'cpu': -52}, 0: {'cpu': -52}, 2: {'cpu': -57}, 8: {'cpu': -72}, 7: {'cpu': -57}, 4: {'cpu': -68}, 9: {'cpu': -72}, 3: {'cpu': -77}, 5: {'cpu': -71}}, 'link_level': {(0, 1): {'bw': -64}, (0, 3): {'bw': -53}, (0, 5): {'bw': -31}, (1, 2): {'bw': -29}}, 'path_level': {(0, 1): {'latency': -1.5080747826527343}, (0, 3): {'latency': -0.15084567678323868}, (0, 5): {'latency': -4.087040105603746}, (1, 2): {'latency': 5.118094723254372}}}","{'node_level': {1: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 5): {'latency': 0}, (1, 2): {'latency': 5.118094723254372}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,4.0
4,1,1,175.0,212.0,70509.09262466723,85416.72935102545,0.8254716981132075,0.8254716981132075,5,3,1,43.0,42422,7674,34748,0.01120989563200614,0.003584434949674531,3,1519.332862724567,43.0,10,27,False,"{1: 66, 8: 57, 9: 73, 2: 50, 7: 39, 0: 5, 4: 85, 6: 59, 5: 52, 3: 60}","{(0, 2): [(5, 31), (31, 50)], (0, 4): [(5, 6), (6, 85)], (0, 7): [(5, 29), (29, 39)], (0, 8): [(5, 1), (1, 57)], (1, 3): [(66, 60)], (1, 4): []}","{(1, 66): {'cpu': 18}, (8, 57): {'cpu': 20}, (9, 73): {'cpu': 20}, (2, 50): {'cpu': 18}, (7, 39): {'cpu': 8}, (0, 5): {'cpu': 9}, (4, 85): {'cpu': 4}, (6, 59): {'cpu': 11}, (5, 52): {'cpu': 3}, (3, 60): {'cpu': 2}}","{((0, 2), (5, 31)): {'bw': 14}, ((0, 2), (31, 50)): {'bw': 14}, ((0, 4), (5, 6)): {'bw': 9}, ((0, 4), (6, 85)): {'bw': 9}, ((0, 7), (5, 29)): {'bw': 49}, ((0, 7), (29, 39)): {'bw': 49}, ((0, 8), (5, 1)): {'bw': 33}, ((0, 8), (1, 57)): {'bw': 33}, ((1, 3), (66, 60)): {'bw': 39}}",0.0,0.0,864.0,113.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.965117367419424,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -48}, 8: {'cpu': -51}, 9: {'cpu': -48}, 2: {'cpu': -50}, 7: {'cpu': -79}, 0: {'cpu': -62}, 4: {'cpu': -78}, 6: {'cpu': -66}, 5: {'cpu': -84}, 3: {'cpu': -84}}, 'link_level': {(0, 2): {'bw': -51}, (0, 4): {'bw': -30}, (0, 7): {'bw': -35}, (0, 8): {'bw': -32}, (1, 3): {'bw': -12}, (1, 4): {'bw': -56}}, 'path_level': {(0, 2): {'latency': -7.835381468855001}, (0, 4): {'latency': -2.824918928591719}, (0, 7): {'latency': -5.090742103328861}, (0, 8): {'latency': -6.735750477925285}, (1, 3): {'latency': -3.4925316856320965}, (1, 4): {'latency': 8.965117367419424}}}","{'node_level': {1: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 4): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 8.965117367419424}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,6.0
5,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,4,1,59.0,42390,7659,34731,0.013142636258214102,0.004071918102830252,4,572.2419097190561,59.0,2,1,True,"{0: 66, 1: 57}","{(0, 1): [(66, 57)]}","{(0, 66): {'cpu': 12}, (1, 57): {'cpu': 3}}","{((0, 1), (66, 57)): {'bw': 17}}",32.0,32.0,32.0,15.0,17.0,15.0,17.0,15.0,17.0,0.0,1.0,18311.741111009796,18311.741111009796,572.2419097190561,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -54}, 1: {'cpu': -68}}, 'link_level': {(0, 1): {'bw': -80}}, 'path_level': {(0, 1): {'latency': -1.441886584247953}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
6,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,5,1,71.0,42390,7659,34731,0.013142636258214102,0.004071918102830252,5,389.37396559521494,71.0,7,12,False,"{3: 73, 2: 50, 1: 57, 5: 39, 0: 5, 4: 66, 6: 85}","{(0, 3): [(5, 48), (48, 73)], (0, 4): [(5, 75), (75, 66)], (1, 3): []}","{(3, 73): {'cpu': 20}, (2, 50): {'cpu': 14}, (1, 57): {'cpu': 13}, (5, 39): {'cpu': 16}, (0, 5): {'cpu': 14}, (4, 66): {'cpu': 5}, (6, 85): {'cpu': 9}}","{((0, 3), (5, 48)): {'bw': 17}, ((0, 3), (48, 73)): {'bw': 17}, ((0, 4), (5, 75)): {'bw': 17}, ((0, 4), (75, 66)): {'bw': 17}}",0.0,0.0,327.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.94507251643393,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -48}, 2: {'cpu': -54}, 1: {'cpu': -55}, 5: {'cpu': -71}, 0: {'cpu': -57}, 4: {'cpu': -49}, 6: {'cpu': -73}}, 'link_level': {(0, 3): {'bw': -76}, (0, 4): {'bw': -41}, (1, 3): {'bw': -18}}, 'path_level': {(0, 3): {'latency': -3.843658514717937}, (0, 4): {'latency': -7.556547811378239}, (1, 3): {'latency': 6.94507251643393}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 6.94507251643393}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,3.0
6,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,6,0,80.22537333413192,42390,7659,34731,0.013142636258214102,0.004071918102830252,0,69.22537333413192,11.0,10,20,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
7,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,7,1,88.0,42390,7659,34731,0.013142636258214102,0.004071918102830252,6,614.0996225091485,88.0,5,5,False,"{0: 73, 2: 50, 1: 57, 3: 39, 4: 5}","{(0, 1): []}","{(0, 73): {'cpu': 20}, (2, 50): {'cpu': 15}, (1, 57): {'cpu': 9}, (3, 39): {'cpu': 7}, (4, 5): {'cpu': 14}}",{},0.0,0.0,182.0,65.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.96325660447288,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 2: {'cpu': -53}, 1: {'cpu': -59}, 3: {'cpu': -80}, 4: {'cpu': -57}}, 'link_level': {(0, 1): {'bw': -43}}, 'path_level': {(0, 1): {'latency': 7.96325660447288}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 7.96325660447288}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,1.0
8,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,8,1,94.0,42390,7659,34731,0.013142636258214102,0.004071918102830252,7,153.18559621141526,94.0,7,9,False,"{5: 73, 1: 50, 4: 57, 3: 39, 0: 5, 2: 66, 6: 85}","{(0, 4): [(5, 1), (1, 57)], (0, 6): [(5, 6), (6, 85)], (1, 2): [(50, 77), (77, 66)], (1, 5): []}","{(5, 73): {'cpu': 19}, (1, 50): {'cpu': 15}, (4, 57): {'cpu': 5}, (3, 39): {'cpu': 14}, (0, 5): {'cpu': 4}, (2, 66): {'cpu': 4}, (6, 85): {'cpu': 4}}","{((0, 4), (5, 1)): {'bw': 45}, ((0, 4), (1, 57)): {'bw': 45}, ((0, 6), (5, 6)): {'bw': 36}, ((0, 6), (6, 85)): {'bw': 36}, ((1, 2), (50, 77)): {'bw': 15}, ((1, 2), (77, 66)): {'bw': 15}}",0.0,0.0,328.0,65.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.653838612207862,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -49}, 1: {'cpu': -53}, 4: {'cpu': -63}, 3: {'cpu': -73}, 0: {'cpu': -67}, 2: {'cpu': -50}, 6: {'cpu': -78}}, 'link_level': {(0, 4): {'bw': -20}, (0, 6): {'bw': -3}, (1, 2): {'bw': -44}, (1, 5): {'bw': -23}}, 'path_level': {(0, 4): {'latency': -1.2614409628433982}, (0, 6): {'latency': -7.810685604016568}, (1, 2): {'latency': -7.993321217562984}, (1, 5): {'latency': 4.653838612207862}}}","{'node_level': {5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}}, 'path_level': {(0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 4.653838612207862}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,4.0
9,2,2,207.0,244.0,88820.83373567704,103728.47046203524,0.8483606557377049,0.8562821117485346,7,9,1,107.0,42390,7659,34731,0.013142636258214102,0.004071918102830252,8,1306.7725652947581,107.0,9,21,False,"{3: 73, 2: 50, 6: 57, 7: 39, 1: 5, 8: 66, 4: 85, 5: 59, 0: 52}","{(0, 1): [(52, 20), (20, 5)], (0, 6): [(52, 29), (29, 57)], (1, 2): [(5, 31), (31, 50)], (1, 3): [(5, 48), (48, 73)], (1, 4): [(5, 6), (6, 85)], (1, 6): [(5, 55), (55, 57)], (1, 7): [(5, 6), (6, 39)], (2, 3): [(50, 76), (76, 73)], (2, 4): [(50, 85)], (2, 5): [(50, 54), (54, 59)], (2, 6): []}","{(3, 73): {'cpu': 15}, (2, 50): {'cpu': 19}, (6, 57): {'cpu': 15}, (7, 39): {'cpu': 16}, (1, 5): {'cpu': 5}, (8, 66): {'cpu': 9}, (4, 85): {'cpu': 11}, (5, 59): {'cpu': 3}, (0, 52): {'cpu': 4}}","{((0, 1), (52, 20)): {'bw': 38}, ((0, 1), (20, 5)): {'bw': 38}, ((0, 6), (52, 29)): {'bw': 28}, ((0, 6), (29, 57)): {'bw': 28}, ((1, 2), (5, 31)): {'bw': 34}, ((1, 2), (31, 50)): {'bw': 34}, ((1, 3), (5, 48)): {'bw': 35}, ((1, 3), (48, 73)): {'bw': 35}, ((1, 4), (5, 6)): {'bw': 11}, ((1, 4), (6, 85)): {'bw': 11}, ((1, 6), (5, 55)): {'bw': 48}, ((1, 6), (55, 57)): {'bw': 48}, ((1, 7), (5, 6)): {'bw': 18}, ((1, 7), (6, 39)): {'bw': 18}, ((2, 3), (50, 76)): {'bw': 41}, ((2, 3), (76, 73)): {'bw': 41}, ((2, 4), (50, 85)): {'bw': 12}, ((2, 5), (50, 54)): {'bw': 29}, ((2, 5), (54, 59)): {'bw': 29}}",0.0,0.0,657.0,97.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.816966738420829,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -53}, 2: {'cpu': -49}, 6: {'cpu': -53}, 7: {'cpu': -71}, 1: {'cpu': -66}, 8: {'cpu': -45}, 4: {'cpu': -71}, 5: {'cpu': -74}, 0: {'cpu': -83}}, 'link_level': {(0, 1): {'bw': -40}, (0, 6): {'bw': -56}, (1, 2): {'bw': -31}, (1, 3): {'bw': -58}, (1, 4): {'bw': -28}, (1, 6): {'bw': -4}, (1, 7): {'bw': -22}, (2, 3): {'bw': -17}, (2, 4): {'bw': -10}, (2, 5): {'bw': -32}, (2, 6): {'bw': -36}}, 'path_level': {(0, 1): {'latency': -10.34019038720955}, (0, 6): {'latency': -7.064810452824873}, (1, 2): {'latency': -3.4751961765684207}, (1, 3): {'latency': -3.9155985091505343}, (1, 4): {'latency': -3.8732684751497968}, (1, 6): {'latency': -0.386736779287955}, (1, 7): {'latency': -9.26878506740284}, (2, 3): {'latency': -3.622580004520005}, (2, 4): {'latency': -4.539688782556574}, (2, 5): {'latency': -1.7347766116485044}, (2, 6): {'latency': 4.816966738420829}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 7): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (1, 6): {'latency': 0}, (1, 7): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 5): {'latency': 0}, (2, 6): {'latency': 4.816966738420829}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,11.0
