v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,42634,7761,34873,0.0,0.0,0,69.22537333413192,11.0,10,20,False,"{1: np.int64(50), 4: np.int64(85), 3: np.int64(31), 2: np.int64(52), 5: np.int64(13), 8: np.int64(77), 6: np.int64(97), 9: np.int64(73), 0: np.int64(86), 7: np.int64(39)}","{(0, 1): [(np.int64(86), 77), (77, np.int64(50))], (0, 3): [(np.int64(86), 5), (5, np.int64(31))], (0, 6): []}","{(1, np.int64(50)): {'cpu': 16}, (4, np.int64(85)): {'cpu': 16}, (3, np.int64(31)): {'cpu': 18}, (2, np.int64(52)): {'cpu': 20}, (5, np.int64(13)): {'cpu': 14}, (8, np.int64(77)): {'cpu': 14}, (6, np.int64(97)): {'cpu': 5}, (9, np.int64(73)): {'cpu': 3}, (0, np.int64(86)): {'cpu': 2}, (7, np.int64(39)): {'cpu': 1}}","{((0, 1), (np.int64(86), 77)): {'bw': 42}, ((0, 1), (77, np.int64(50))): {'bw': 42}, ((0, 3), (np.int64(86), 5)): {'bw': 50}, ((0, 3), (5, np.int64(31))): {'bw': 50}}",0.0,0.0,816.0,109.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.516663355554347,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 4: {'cpu': -82}, 3: {'cpu': -61}, 2: {'cpu': -67}, 5: {'cpu': -68}, 8: {'cpu': -85}, 6: {'cpu': -93}, 9: {'cpu': -84}, 0: {'cpu': -58}, 7: {'cpu': -86}}, 'link_level': {(0, 1): {'bw': -50}, (0, 3): {'bw': -15}, (0, 6): {'bw': -39}}, 'path_level': {(0, 1): {'latency': -2.421973982852567}, (0, 3): {'latency': -2.939401474260661}, (0, 6): {'latency': 4.516663355554347}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 6): {'latency': 4.516663355554347}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,3.0
2,1,1,175.0,185.0,70509.09262466723,74538.18363179108,0.9459459459459459,0.9459459459459458,5,1,1,15.0,42449,7674,34775,0.01120989563200614,0.002810197000544856,1,402.9091007123842,15.0,5,5,True,"{1: np.int64(50), 3: np.int64(85), 4: np.int64(31), 0: np.int64(52), 2: np.int64(13)}","{(0, 1): [(np.int64(52), 31), (31, np.int64(50))], (0, 4): [(np.int64(52), 31)], (1, 3): [(np.int64(50), 85)], (1, 4): [(np.int64(50), 31)], (2, 3): [(np.int64(13), 85)]}","{(1, np.int64(50)): {'cpu': 19}, (3, np.int64(85)): {'cpu': 19}, (4, np.int64(31)): {'cpu': 16}, (0, np.int64(52)): {'cpu': 17}, (2, np.int64(13)): {'cpu': 16}}","{((0, 1), (np.int64(52), 31)): {'bw': 10}, ((0, 1), (31, np.int64(50))): {'bw': 10}, ((0, 4), (np.int64(52), 31)): {'bw': 14}, ((1, 3), (np.int64(50), 85)): {'bw': 23}, ((1, 4), (np.int64(50), 31)): {'bw': 28}, ((2, 3), (np.int64(13), 85)): {'bw': 13}}",185.0,175.0,175.0,87.0,88.0,87.0,88.0,87.0,98.0,10.0,0.9459459459459459,74538.18363179108,70509.09262466723,381.1302304036067,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -68}, 3: {'cpu': -79}, 4: {'cpu': -63}, 0: {'cpu': -70}, 2: {'cpu': -66}}, 'link_level': {(0, 1): {'bw': -67}, (0, 4): {'bw': -65}, (1, 3): {'bw': -27}, (1, 4): {'bw': -39}, (2, 3): {'bw': -52}}, 'path_level': {(0, 1): {'latency': -2.278343691139601}, (0, 4): {'latency': -1.8802451199353727}, (1, 3): {'latency': -3.4453026683938206}, (1, 4): {'latency': -5.217022449090049}, (2, 3): {'latency': -9.444126852416112}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (2, 3): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0
3,1,1,175.0,185.0,70509.09262466723,74538.18363179108,0.9459459459459459,0.9459459459459458,5,2,1,30.0,42449,7674,34775,0.01120989563200614,0.002810197000544856,2,104.01345834808855,30.0,10,20,False,"{1: np.int64(73), 6: np.int64(59), 0: np.int64(88), 2: np.int64(66), 8: np.int64(57), 7: np.int64(77), 4: np.int64(50), 9: np.int64(38), 3: np.int64(60), 5: np.int64(82)}","{(0, 1): [(np.int64(88), 73)], (0, 3): []}","{(1, np.int64(73)): {'cpu': 16}, (6, np.int64(59)): {'cpu': 19}, (0, np.int64(88)): {'cpu': 16}, (2, np.int64(66)): {'cpu': 11}, (8, np.int64(57)): {'cpu': 15}, (7, np.int64(77)): {'cpu': 14}, (4, np.int64(50)): {'cpu': 14}, (9, np.int64(38)): {'cpu': 5}, (3, np.int64(60)): {'cpu': 10}, (5, np.int64(82)): {'cpu': 15}}","{((0, 1), (np.int64(88), 73)): {'bw': 26}}",0.0,0.0,631.0,135.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3.581972987384452,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 6: {'cpu': -74}, 0: {'cpu': -70}, 2: {'cpu': -55}, 8: {'cpu': -56}, 7: {'cpu': -85}, 4: {'cpu': -54}, 9: {'cpu': -93}, 3: {'cpu': -76}, 5: {'cpu': -61}}, 'link_level': {(0, 1): {'bw': -41}, (0, 3): {'bw': -37}}, 'path_level': {(0, 1): {'latency': -3.4906729105212584}, (0, 3): {'latency': 3.581972987384452}}}","{'node_level': {1: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 3.581972987384452}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,2.0
4,1,1,175.0,185.0,70509.09262466723,74538.18363179108,0.9459459459459459,0.9459459459459458,5,3,1,43.0,42449,7674,34775,0.01120989563200614,0.002810197000544856,3,1519.332862724567,43.0,10,27,False,"{1: np.int64(73), 8: np.int64(59), 9: np.int64(88), 2: np.int64(66), 7: np.int64(57), 0: np.int64(77), 4: np.int64(50), 6: np.int64(38), 5: np.int64(60), 3: np.int64(82)}","{(0, 2): [(np.int64(77), 66)], (0, 4): [(np.int64(77), 50)], (0, 7): [(np.int64(77), 6), (6, 29), (29, np.int64(57))], (0, 8): [(np.int64(77), 88), (88, np.int64(59))], (1, 3): [(np.int64(73), 59), (59, np.int64(82))], (1, 4): []}","{(1, np.int64(73)): {'cpu': 18}, (8, np.int64(59)): {'cpu': 20}, (9, np.int64(88)): {'cpu': 20}, (2, np.int64(66)): {'cpu': 18}, (7, np.int64(57)): {'cpu': 8}, (0, np.int64(77)): {'cpu': 9}, (4, np.int64(50)): {'cpu': 4}, (6, np.int64(38)): {'cpu': 11}, (5, np.int64(60)): {'cpu': 3}, (3, np.int64(82)): {'cpu': 2}}","{((0, 2), (np.int64(77), 66)): {'bw': 14}, ((0, 4), (np.int64(77), 50)): {'bw': 9}, ((0, 7), (np.int64(77), 6)): {'bw': 49}, ((0, 7), (6, 29)): {'bw': 49}, ((0, 7), (29, np.int64(57))): {'bw': 49}, ((0, 8), (np.int64(77), 88)): {'bw': 33}, ((0, 8), (88, np.int64(59))): {'bw': 33}, ((1, 3), (np.int64(73), 59)): {'bw': 39}, ((1, 3), (59, np.int64(82))): {'bw': 39}}",0.0,0.0,864.0,113.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.938267025621876,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -69}, 8: {'cpu': -73}, 9: {'cpu': -66}, 2: {'cpu': -48}, 7: {'cpu': -63}, 0: {'cpu': -90}, 4: {'cpu': -64}, 6: {'cpu': -87}, 5: {'cpu': -83}, 3: {'cpu': -74}}, 'link_level': {(0, 2): {'bw': -45}, (0, 4): {'bw': -83}, (0, 7): {'bw': -30}, (0, 8): {'bw': -49}, (1, 3): {'bw': -16}, (1, 4): {'bw': -32}}, 'path_level': {(0, 2): {'latency': -12.958599006334591}, (0, 4): {'latency': -1.3871188617708992}, (0, 7): {'latency': -5.718385643948029}, (0, 8): {'latency': -7.990488853179489}, (1, 3): {'latency': -3.3896549043770605}, (1, 4): {'latency': 7.938267025621876}}}","{'node_level': {1: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 4): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 7.938267025621876}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,6.0
5,2,2,207.0,217.0,88820.83373567704,92849.92474280088,0.9539170506912442,0.9566064160171951,7,4,1,59.0,42417,7659,34758,0.013142636258214102,0.0032976801537005773,4,572.2419097190561,59.0,2,1,True,"{0: np.int64(73), 1: np.int64(59)}","{(0, 1): [(np.int64(73), 59)]}","{(0, np.int64(73)): {'cpu': 12}, (1, np.int64(59)): {'cpu': 3}}","{((0, 1), (np.int64(73), 59)): {'bw': 17}}",32.0,32.0,32.0,15.0,17.0,15.0,17.0,15.0,17.0,0.0,1.0,18311.741111009796,18311.741111009796,572.2419097190561,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -55}}, 'path_level': {(0, 1): {'latency': -3.0626680840338985}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
6,2,2,207.0,217.0,88820.83373567704,92849.92474280088,0.9539170506912442,0.9566064160171951,7,5,1,71.0,42417,7659,34758,0.013142636258214102,0.0032976801537005773,5,389.37396559521494,71.0,7,12,False,"{3: np.int64(73), 2: np.int64(66), 1: np.int64(88), 5: np.int64(59), 0: np.int64(57), 4: np.int64(77), 6: np.int64(50)}","{(0, 3): [(np.int64(57), 55), (55, np.int64(73))], (0, 4): [(np.int64(57), 66), (66, np.int64(77))], (1, 3): [(np.int64(88), 73)], (1, 4): [(np.int64(88), 77)], (1, 5): [(np.int64(88), 59)], (2, 3): [(np.int64(66), 73)], (2, 4): []}","{(3, np.int64(73)): {'cpu': 20}, (2, np.int64(66)): {'cpu': 14}, (1, np.int64(88)): {'cpu': 13}, (5, np.int64(59)): {'cpu': 16}, (0, np.int64(57)): {'cpu': 14}, (4, np.int64(77)): {'cpu': 5}, (6, np.int64(50)): {'cpu': 9}}","{((0, 3), (np.int64(57), 55)): {'bw': 17}, ((0, 3), (55, np.int64(73))): {'bw': 17}, ((0, 4), (np.int64(57), 66)): {'bw': 17}, ((0, 4), (66, np.int64(77))): {'bw': 17}, ((1, 3), (np.int64(88), 73)): {'bw': 48}, ((1, 4), (np.int64(88), 77)): {'bw': 9}, ((1, 5), (np.int64(88), 59)): {'bw': 2}, ((2, 3), (np.int64(66), 73)): {'bw': 2}}",0.0,0.0,327.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.332985750664694,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -55}, 2: {'cpu': -52}, 1: {'cpu': -73}, 5: {'cpu': -74}, 0: {'cpu': -57}, 4: {'cpu': -94}, 6: {'cpu': -59}}, 'link_level': {(0, 3): {'bw': -35}, (0, 4): {'bw': -42}, (1, 3): {'bw': -19}, (1, 4): {'bw': -73}, (1, 5): {'bw': -85}, (2, 3): {'bw': -88}, (2, 4): {'bw': -5}}, 'path_level': {(0, 3): {'latency': -4.484093422409268}, (0, 4): {'latency': -8.182150130996021}, (1, 3): {'latency': -0.5022508903041718}, (1, 4): {'latency': -7.373685820032151}, (1, 5): {'latency': -6.642351231678319}, (2, 3): {'latency': -9.151297791039608}, (2, 4): {'latency': 8.332985750664694}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (1, 5): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 8.332985750664694}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,7.0
6,2,2,207.0,217.0,88820.83373567704,92849.92474280088,0.9539170506912442,0.9566064160171951,7,6,0,80.22537333413192,42417,7659,34758,0.013142636258214102,0.0032976801537005773,0,69.22537333413192,11.0,10,20,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
7,3,3,389.0,451.0,200586.96503234206,236549.23640994163,0.8625277161862528,0.8479713064248634,10,7,1,88.0,42183,7594,34589,0.021517845638448607,0.008143836205660504,6,614.0996225091485,88.0,5,5,True,"{0: np.int64(73), 2: np.int64(66), 1: np.int64(88), 3: np.int64(59), 4: np.int64(57)}","{(0, 1): [(np.int64(73), 88)], (0, 2): [(np.int64(73), 66)], (0, 3): [(np.int64(73), 59)], (1, 2): [(np.int64(88), 77), (77, np.int64(66))], (1, 4): [(np.int64(88), 59), (59, np.int64(57))]}","{(0, np.int64(73)): {'cpu': 20}, (2, np.int64(66)): {'cpu': 15}, (1, np.int64(88)): {'cpu': 9}, (3, np.int64(59)): {'cpu': 7}, (4, np.int64(57)): {'cpu': 14}}","{((0, 1), (np.int64(73), 88)): {'bw': 24}, ((0, 2), (np.int64(73), 66)): {'bw': 36}, ((0, 3), (np.int64(73), 59)): {'bw': 5}, ((1, 2), (np.int64(88), 77)): {'bw': 50}, ((1, 2), (77, np.int64(66))): {'bw': 50}, ((1, 4), (np.int64(88), 59)): {'bw': 2}, ((1, 4), (59, np.int64(57))): {'bw': 2}}",234.0,182.0,182.0,65.0,117.0,65.0,117.0,65.0,169.0,52.0,0.7777777777777778,143699.31166714075,111766.13129666503,477.6330397293377,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -55}, 2: {'cpu': -51}, 1: {'cpu': -77}, 3: {'cpu': -83}, 4: {'cpu': -57}}, 'link_level': {(0, 1): {'bw': -43}, (0, 2): {'bw': -54}, (0, 3): {'bw': -50}, (1, 2): {'bw': -9}, (1, 4): {'bw': -85}}, 'path_level': {(0, 1): {'latency': -0.9362997020124522}, (0, 2): {'latency': -4.744029207136071}, (0, 3): {'latency': -4.319012012973864}, (1, 2): {'latency': -1.475679807028306}, (1, 4): {'latency': -5.30252887396834}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (1, 2): {'latency': 0}, (1, 4): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0
8,3,3,389.0,451.0,200586.96503234206,236549.23640994163,0.8625277161862528,0.8479713064248634,10,8,1,94.0,42183,7594,34589,0.021517845638448607,0.008143836205660504,7,153.18559621141526,94.0,7,9,False,"{5: np.int64(50), 1: np.int64(85), 4: np.int64(21), 3: np.int64(5), 0: np.int64(86), 2: np.int64(39), 6: np.int64(31)}","{(0, 4): [(np.int64(86), 21)], (0, 6): [(np.int64(86), 5), (5, np.int64(31))], (1, 2): [(np.int64(85), 6), (6, np.int64(39))], (1, 5): []}","{(5, np.int64(50)): {'cpu': 19}, (1, np.int64(85)): {'cpu': 15}, (4, np.int64(21)): {'cpu': 5}, (3, np.int64(5)): {'cpu': 14}, (0, np.int64(86)): {'cpu': 4}, (2, np.int64(39)): {'cpu': 4}, (6, np.int64(31)): {'cpu': 4}}","{((0, 4), (np.int64(86), 21)): {'bw': 45}, ((0, 6), (np.int64(86), 5)): {'bw': 36}, ((0, 6), (5, np.int64(31))): {'bw': 36}, ((1, 2), (np.int64(85), 6)): {'bw': 15}, ((1, 2), (6, np.int64(39))): {'bw': 15}}",0.0,0.0,328.0,65.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.835970443352297,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -49}, 1: {'cpu': -64}, 4: {'cpu': -71}, 3: {'cpu': -57}, 0: {'cpu': -56}, 2: {'cpu': -83}, 6: {'cpu': -59}}, 'link_level': {(0, 4): {'bw': -17}, (0, 6): {'bw': -29}, (1, 2): {'bw': -37}, (1, 5): {'bw': -12}}, 'path_level': {(0, 4): {'latency': -4.6664988136658385}, (0, 6): {'latency': -3.535950979595542}, (1, 2): {'latency': -10.380087695364733}, (1, 5): {'latency': 5.835970443352297}}}","{'node_level': {5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}}, 'path_level': {(0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 5.835970443352297}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,4.0
9,3,3,389.0,451.0,200586.96503234206,236549.23640994163,0.8625277161862528,0.8479713064248634,10,9,1,107.0,42183,7594,34589,0.021517845638448607,0.008143836205660504,8,1306.7725652947581,107.0,9,21,False,"{3: np.int64(50), 2: np.int64(85), 6: np.int64(21), 7: np.int64(5), 1: np.int64(86), 8: np.int64(39), 4: np.int64(31), 5: np.int64(6), 0: np.int64(97)}","{(0, 1): [(np.int64(97), 86)], (0, 6): [(np.int64(97), 86), (86, np.int64(21))], (1, 2): [(np.int64(86), 13), (13, np.int64(85))], (1, 3): [(np.int64(86), 77), (77, np.int64(50))], (1, 4): [(np.int64(86), 7), (7, np.int64(31))], (1, 6): [(np.int64(86), 5), (5, np.int64(21))], (1, 7): [(np.int64(86), 5)], (2, 3): [(np.int64(85), 6), (6, 77), (77, np.int64(50))], (2, 4): [(np.int64(85), 6), (6, np.int64(31))], (2, 5): []}","{(3, np.int64(50)): {'cpu': 15}, (2, np.int64(85)): {'cpu': 19}, (6, np.int64(21)): {'cpu': 15}, (7, np.int64(5)): {'cpu': 16}, (1, np.int64(86)): {'cpu': 5}, (8, np.int64(39)): {'cpu': 9}, (4, np.int64(31)): {'cpu': 11}, (5, np.int64(6)): {'cpu': 3}, (0, np.int64(97)): {'cpu': 4}}","{((0, 1), (np.int64(97), 86)): {'bw': 38}, ((0, 6), (np.int64(97), 86)): {'bw': 28}, ((0, 6), (86, np.int64(21))): {'bw': 28}, ((1, 2), (np.int64(86), 13)): {'bw': 34}, ((1, 2), (13, np.int64(85))): {'bw': 34}, ((1, 3), (np.int64(86), 77)): {'bw': 35}, ((1, 3), (77, np.int64(50))): {'bw': 35}, ((1, 4), (np.int64(86), 7)): {'bw': 11}, ((1, 4), (7, np.int64(31))): {'bw': 11}, ((1, 6), (np.int64(86), 5)): {'bw': 48}, ((1, 6), (5, np.int64(21))): {'bw': 48}, ((1, 7), (np.int64(86), 5)): {'bw': 18}, ((2, 3), (np.int64(85), 6)): {'bw': 41}, ((2, 3), (6, 77)): {'bw': 41}, ((2, 3), (77, np.int64(50))): {'bw': 41}, ((2, 4), (np.int64(85), 6)): {'bw': 12}, ((2, 4), (6, np.int64(31))): {'bw': 12}}",0.0,0.0,657.0,97.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,15.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -53}, 2: {'cpu': -60}, 6: {'cpu': -61}, 7: {'cpu': -55}, 1: {'cpu': -55}, 8: {'cpu': -78}, 4: {'cpu': -52}, 5: {'cpu': -66}, 0: {'cpu': -94}}, 'link_level': {(0, 1): {'bw': -45}, (0, 6): {'bw': -17}, (1, 2): {'bw': -18}, (1, 3): {'bw': -57}, (1, 4): {'bw': -46}, (1, 6): {'bw': -31}, (1, 7): {'bw': -13}, (2, 3): {'bw': -12}, (2, 4): {'bw': 0}, (2, 5): {'bw': 13}}, 'path_level': {(0, 1): {'latency': -11.12876545504444}, (0, 6): {'latency': -5.2734758835948625}, (1, 2): {'latency': -3.761942128845993}, (1, 3): {'latency': -3.4490664739906336}, (1, 4): {'latency': -1.4701922103932983}, (1, 6): {'latency': -0.4512685765542015}, (1, 7): {'latency': -10.409400743009135}, (2, 3): {'latency': -1.172782122877992}, (2, 4): {'latency': -1.8281309247963033}, (2, 5): {'latency': 3.2278443579014553}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 7): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 15}}, 'path_level': {(0, 1): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (1, 6): {'latency': 0}, (1, 7): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 5): {'latency': 3.2278443579014553}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,10.0
