v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,rdma_mode,fallback_count,rdma_link_count,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,46185.0,7251,38934.0,0.0,0.0,0,38.328229919214216,14.0,7,12,False,"{6: np.int64(36), 2: np.int64(88), 3: np.int64(24), 0: np.int64(99), 1: np.int64(16), 5: np.int64(38), 4: np.int64(27)}","{(0, 6): [(np.int64(99), 66), (66, np.int64(36))], (2, 5): [(np.int64(88), 29), (29, np.int64(38))], (4, 6): [(np.int64(27), 88), (88, np.int64(36))], (3, 5): [(np.int64(24), 1), (1, np.int64(38))], (1, 4): [(np.int64(16), 46), (46, np.int64(27))], (2, 3): [(np.int64(88), 28), (28, np.int64(24))], (0, 5): [(np.int64(99), 51), (51, np.int64(38))], (2, 6): [(np.int64(88), 36)]}","{(6, np.int64(36)): {'cpu': 10}, (2, np.int64(88)): {'cpu': 13}, (3, np.int64(24)): {'cpu': 17}, (0, np.int64(99)): {'cpu': 9}, (1, np.int64(16)): {'cpu': 12}, (5, np.int64(38)): {'cpu': 1}, (4, np.int64(27)): {'cpu': 1}}","{((0, 6), (np.int64(99), 66)): {'bw': 47.0}, ((0, 6), (66, np.int64(36))): {'bw': 47.0}, ((2, 5), (np.int64(88), 29)): {'bw': 46.0}, ((2, 5), (29, np.int64(38))): {'bw': 46.0}, ((4, 6), (np.int64(27), 88)): {'bw': 43.0}, ((4, 6), (88, np.int64(36))): {'bw': 43.0}, ((3, 5), (np.int64(24), 1)): {'bw': 39.0}, ((3, 5), (1, np.int64(38))): {'bw': 39.0}, ((1, 4), (np.int64(16), 46)): {'bw': 36.0}, ((1, 4), (46, np.int64(27))): {'bw': 36.0}, ((2, 3), (np.int64(88), 28)): {'bw': 33.0}, ((2, 3), (28, np.int64(24))): {'bw': 33.0}, ((0, 5), (np.int64(99), 51)): {'bw': 28.0}, ((0, 5), (51, np.int64(38))): {'bw': 28.0}, ((2, 6), (np.int64(88), 36)): {'bw': 25.0}}",0.0,0.0,438.0,63.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -81}, 2: {'cpu': -69}, 3: {'cpu': -62}, 0: {'cpu': -87}, 1: {'cpu': -88}, 5: {'cpu': -56}, 4: {'cpu': -53}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 6), 0), ((2, 5), 0), ((4, 6), 0), ((3, 5), 0), ((1, 4), 0), ((2, 3), 0), ((0, 5), 0), ((2, 6), 0)])",0.0,0.0,7.0,8.0
2,1,1,753.0,1499.0,582157.5979143366,1158903.3722092835,0.5023348899266178,0.5023348899266178,10,1,1,29.0,44686.0,7169,37517.0,0.011308784995173071,0.03639492474443928,1,773.1176599127975,29.0,10,24,True,"{6: np.int64(36), 9: np.int64(88), 8: np.int64(24), 0: np.int64(99), 1: np.int64(16), 7: np.int64(63), 2: np.int64(54), 4: np.int64(22), 3: np.int64(64), 5: np.int64(43)}","{(0, 5): [(np.int64(99), 83), (83, np.int64(43))], (0, 3): [(np.int64(99), 82), (82, np.int64(64))], (0, 8): [(np.int64(99), 97), (97, np.int64(24))], (1, 7): [(np.int64(16), 19), (19, np.int64(63))], (0, 7): [(np.int64(99), 27), (27, 94), (94, np.int64(63))], (5, 6): [(np.int64(43), 14), (14, 88), (88, np.int64(36))], (1, 2): [(np.int64(16), 38), (38, 43), (43, np.int64(54))], (1, 5): [(np.int64(16), 38), (38, np.int64(43))], (5, 9): [(np.int64(43), 54), (54, 27), (27, np.int64(88))], (1, 6): [(np.int64(16), 66), (66, np.int64(36))], (2, 8): [(np.int64(54), 24)], (2, 4): [(np.int64(54), 22)], (0, 9): [(np.int64(99), 51), (51, 27), (27, np.int64(88))], (7, 9): [(np.int64(63), 88)], (8, 9): [(np.int64(24), 28), (28, np.int64(88))], (5, 7): [(np.int64(43), 63)], (6, 7): [(np.int64(36), 66), (66, np.int64(63))], (3, 6): [(np.int64(64), 36)], (3, 9): [(np.int64(64), 36), (36, np.int64(88))], (0, 6): [(np.int64(99), 66), (66, np.int64(36))], (1, 3): [(np.int64(16), 66), (66, 36), (36, np.int64(64))], (1, 4): [(np.int64(16), 74), (74, 39), (39, np.int64(22))], (2, 7): [(np.int64(54), 43), (43, np.int64(63))], (0, 4): [(np.int64(99), 47), (47, 39), (39, np.int64(22))]}","{(6, np.int64(36)): {'cpu': 17}, (9, np.int64(88)): {'cpu': 13}, (8, np.int64(24)): {'cpu': 15}, (0, np.int64(99)): {'cpu': 6}, (1, np.int64(16)): {'cpu': 7}, (7, np.int64(63)): {'cpu': 4}, (2, np.int64(54)): {'cpu': 5}, (4, np.int64(22)): {'cpu': 11}, (3, np.int64(64)): {'cpu': 3}, (5, np.int64(43)): {'cpu': 1}}","{((0, 5), (np.int64(99), 83)): {'bw': 50.0}, ((0, 5), (83, np.int64(43))): {'bw': 50.0}, ((0, 3), (np.int64(99), 82)): {'bw': 49.0}, ((0, 3), (82, np.int64(64))): {'bw': 49.0}, ((0, 8), (np.int64(99), 97)): {'bw': 47.0}, ((0, 8), (97, np.int64(24))): {'bw': 47.0}, ((1, 7), (np.int64(16), 19)): {'bw': 48.0}, ((1, 7), (19, np.int64(63))): {'bw': 48.0}, ((0, 7), (np.int64(99), 27)): {'bw': 44.0}, ((0, 7), (27, 94)): {'bw': 44.0}, ((0, 7), (94, np.int64(63))): {'bw': 44.0}, ((5, 6), (np.int64(43), 14)): {'bw': 44.0}, ((5, 6), (14, 88)): {'bw': 44.0}, ((5, 6), (88, np.int64(36))): {'bw': 44.0}, ((1, 2), (np.int64(16), 38)): {'bw': 34.0}, ((1, 2), (38, 43)): {'bw': 34.0}, ((1, 2), (43, np.int64(54))): {'bw': 34.0}, ((1, 5), (np.int64(16), 38)): {'bw': 40.0}, ((1, 5), (38, np.int64(43))): {'bw': 40.0}, ((5, 9), (np.int64(43), 54)): {'bw': 37.0}, ((5, 9), (54, 27)): {'bw': 37.0}, ((5, 9), (27, np.int64(88))): {'bw': 37.0}, ((1, 6), (np.int64(16), 66)): {'bw': 33.0}, ((1, 6), (66, np.int64(36))): {'bw': 33.0}, ((2, 8), (np.int64(54), 24)): {'bw': 34.0}, ((2, 4), (np.int64(54), 22)): {'bw': 34.0}, ((0, 9), (np.int64(99), 51)): {'bw': 28.0}, ((0, 9), (51, 27)): {'bw': 28.0}, ((0, 9), (27, np.int64(88))): {'bw': 28.0}, ((7, 9), (np.int64(63), 88)): {'bw': 27.0}, ((8, 9), (np.int64(24), 28)): {'bw': 19.0}, ((8, 9), (28, np.int64(88))): {'bw': 19.0}, ((5, 7), (np.int64(43), 63)): {'bw': 22.0}, ((6, 7), (np.int64(36), 66)): {'bw': 13.0}, ((6, 7), (66, np.int64(63))): {'bw': 13.0}, ((3, 6), (np.int64(64), 36)): {'bw': 15.0}, ((3, 9), (np.int64(64), 36)): {'bw': 14.0}, ((3, 9), (36, np.int64(88))): {'bw': 14.0}, ((0, 6), (np.int64(99), 66)): {'bw': 11.0}, ((0, 6), (66, np.int64(36))): {'bw': 11.0}, ((1, 3), (np.int64(16), 66)): {'bw': 9.0}, ((1, 3), (66, 36)): {'bw': 9.0}, ((1, 3), (36, np.int64(64))): {'bw': 9.0}, ((1, 4), (np.int64(16), 74)): {'bw': 5.0}, ((1, 4), (74, 39)): {'bw': 5.0}, ((1, 4), (39, np.int64(22))): {'bw': 5.0}, ((2, 7), (np.int64(54), 43)): {'bw': 8.0}, ((2, 7), (43, np.int64(63))): {'bw': 8.0}, ((0, 4), (np.int64(99), 47)): {'bw': 6.0}, ((0, 4), (47, 39)): {'bw': 6.0}, ((0, 4), (39, np.int64(22))): {'bw': 6.0}}",1499.0,753.0,753.0,82.0,671.0,82.0,671.0,82.0,1417.0,746.0,0.5023348899266178,1158903.3722092835,582157.5979143366,388.36397459261946,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -74}, 9: {'cpu': -69}, 8: {'cpu': -64}, 0: {'cpu': -90}, 1: {'cpu': -93}, 7: {'cpu': -91}, 2: {'cpu': -94}, 4: {'cpu': -81}, 3: {'cpu': -88}, 5: {'cpu': -57}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 9: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 5), 0), ((0, 3), 0), ((0, 8), 0), ((1, 7), 0), ((0, 7), 0), ((5, 6), 0), ((1, 2), 0), ((1, 5), 0), ((5, 9), 0), ((1, 6), 0), ((2, 8), 0), ((2, 4), 0), ((0, 9), 0), ((7, 9), 0), ((8, 9), 0), ((5, 7), 0), ((6, 7), 0), ((3, 6), 0), ((3, 9), 0), ((0, 6), 0), ((1, 3), 0), ((1, 4), 0), ((2, 7), 0), ((0, 4), 0)])",5.0,0.0,10.0,24.0
3,2,2,1047.0,1920.0,591890.7235002567,1172840.9432013663,0.5453125,0.5046641037996524,13,2,1,44.0,44265.0,7063,37202.0,0.025927458281616356,0.044485539631170745,2,33.10586933986429,44.0,7,7,True,"{6: np.int64(36), 0: np.int64(24), 3: np.int64(64), 1: np.int64(44), 5: np.int64(76), 2: np.int64(99), 4: np.int64(74)}","{(2, 3): [(np.int64(99), 44), (44, np.int64(64))], (0, 5): [(np.int64(24), 1), (1, np.int64(76))], (3, 6): [(np.int64(64), 36)], (1, 6): [(np.int64(44), 36)], (1, 2): [(np.int64(44), 99)], (0, 6): [(np.int64(24), 28), (28, 88), (88, np.int64(36))], (0, 4): [(np.int64(24), 20), (20, np.int64(74))]}","{(6, np.int64(36)): {'cpu': 20}, (0, np.int64(24)): {'cpu': 19}, (3, np.int64(64)): {'cpu': 16}, (1, np.int64(44)): {'cpu': 19}, (5, np.int64(76)): {'cpu': 15}, (2, np.int64(99)): {'cpu': 6}, (4, np.int64(74)): {'cpu': 11}}","{((2, 3), (np.int64(99), 44)): {'bw': 46.0}, ((2, 3), (44, np.int64(64))): {'bw': 46.0}, ((0, 5), (np.int64(24), 1)): {'bw': 43.0}, ((0, 5), (1, np.int64(76))): {'bw': 43.0}, ((3, 6), (np.int64(64), 36)): {'bw': 32.0}, ((1, 6), (np.int64(44), 36)): {'bw': 24.0}, ((1, 2), (np.int64(44), 99)): {'bw': 19.0}, ((0, 6), (np.int64(24), 28)): {'bw': 14.0}, ((0, 6), (28, 88)): {'bw': 14.0}, ((0, 6), (88, np.int64(36))): {'bw': 14.0}, ((0, 4), (np.int64(24), 20)): {'bw': 10.0}, ((0, 4), (20, np.int64(74))): {'bw': 10.0}}",421.0,294.0,294.0,106.0,188.0,106.0,188.0,106.0,315.0,127.0,0.6983372921615202,13937.570992082867,9733.125585920101,23.119063149453922,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -54}, 0: {'cpu': -45}, 3: {'cpu': -72}, 1: {'cpu': -55}, 5: {'cpu': -75}, 2: {'cpu': -84}, 4: {'cpu': -65}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((2, 3), 0), ((0, 5), 0), ((3, 6), 0), ((1, 6), 0), ((1, 2), 0), ((0, 6), 0), ((0, 4), 0)])",2.0,0.0,7.0,7.0
3,2,2,1047.0,1920.0,591890.7235002567,1172840.9432013663,0.5453125,0.5046641037996524,13,3,0,52.328229919214216,44265.0,7063,37202.0,0.025927458281616356,0.044485539631170745,0,38.328229919214216,14.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,,,,
4,3,3,1067.0,1940.0,596280.5861005824,1177230.805801692,0.55,0.5065111982815608,14,4,1,58.0,44245.0,7047,37198.0,0.028134050475796424,0.04458827759798634,3,219.49313001628371,58.0,2,1,True,"{1: np.int64(38), 0: np.int64(16)}","{(0, 1): [(np.int64(16), 38)]}","{(1, np.int64(38)): {'cpu': 12}, (0, np.int64(16)): {'cpu': 4}}","{((0, 1), (np.int64(16), 38)): {'bw': 4.0}}",20.0,20.0,20.0,16.0,4.0,16.0,4.0,16.0,4.0,0.0,1.0,4389.862600325674,4389.862600325674,219.49313001628371,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -45}, 0: {'cpu': -89}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 1), 0)])",0.0,0.0,2.0,1.0
5,4,4,1133.0,2123.0,690149.2505778242,1437503.0118522258,0.533678756476684,0.48010282057674813,15,5,1,73.0,44062.0,7020,37042.0,0.031857674803475344,0.04859505830379618,4,1422.2524920794203,73.0,2,1,True,"{0: np.int64(22), 1: np.int64(78)}","{(0, 1): [(np.int64(22), 86), (86, 25), (25, 69), (69, np.int64(78))]}","{(0, np.int64(22)): {'cpu': 18}, (1, np.int64(78)): {'cpu': 9}}","{((0, 1), (np.int64(22), 86)): {'bw': 39.0}, ((0, 1), (86, 25)): {'bw': 39.0}, ((0, 1), (25, 69)): {'bw': 39.0}, ((0, 1), (69, np.int64(78))): {'bw': 39.0}}",183.0,66.0,66.0,27.0,39.0,27.0,39.0,27.0,156.0,117.0,0.36065573770491804,260272.20605053392,93868.66447724175,512.9435217335614,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -63}, 1: {'cpu': -50}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 1), 0)])",1.0,0.0,2.0,1.0
5,4,3,1133.0,2123.0,690149.2505778242,1437503.0118522258,0.533678756476684,0.48010282057674813,15,6,0,77.10586933986428,44483.0,7126,37357.0,0.01723900151703217,0.04050444341706483,2,33.10586933986429,44.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,,,,
6,5,4,1205.0,2261.0,707347.1191647892,1470465.5933105755,0.5329500221141088,0.48103615778746833,15,7,1,82.0,44345.0,7090,37255.0,0.022203833953937435,0.043124261570863465,5,238.85928593006952,82.0,3,2,True,"{2: np.int64(36), 1: np.int64(24), 0: np.int64(64)}","{(1, 2): [(np.int64(24), 28), (28, 88), (88, np.int64(36))], (0, 2): [(np.int64(64), 36)]}","{(2, np.int64(36)): {'cpu': 12}, (1, np.int64(24)): {'cpu': 8}, (0, np.int64(64)): {'cpu': 16}}","{((1, 2), (np.int64(24), 28)): {'bw': 33.0}, ((1, 2), (28, 88)): {'bw': 33.0}, ((1, 2), (88, np.int64(36))): {'bw': 33.0}, ((0, 2), (np.int64(64), 36)): {'bw': 3.0}}",138.0,72.0,72.0,36.0,36.0,36.0,36.0,36.0,102.0,66.0,0.5217391304347826,32962.581458349596,17197.868586965007,124.62223613742758,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -62}, 1: {'cpu': -56}, 0: {'cpu': -72}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((1, 2), 0), ((0, 2), 0)])",0.0,0.0,3.0,2.0
7,5,4,1205.0,2261.0,707347.1191647892,1470465.5933105755,0.5329500221141088,0.48103615778746833,15,8,1,101.0,44345.0,7090,37255.0,0.022203833953937435,0.043124261570863465,6,719.678975926222,101.0,9,19,False,"{6: np.int64(44), 7: np.int64(74), 4: np.int64(47), 3: np.int64(76), 5: np.int64(36)}",{},"{(6, np.int64(44)): {'cpu': 14}, (7, np.int64(74)): {'cpu': 16}, (4, np.int64(47)): {'cpu': 18}, (3, np.int64(76)): {'cpu': 12}, (5, np.int64(36)): {'cpu': 6}}",{},0.0,0.0,604.0,106.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -60}, 7: {'cpu': -60}, 4: {'cpu': -74}, 3: {'cpu': -78}, 5: {'cpu': -56}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,False,True,False,0,[],0,0.0,,,,5.0,0.0
8,5,4,1205.0,2261.0,707347.1191647892,1470465.5933105755,0.5329500221141088,0.48103615778746833,15,9,1,109.0,44345.0,7090,37255.0,0.022203833953937435,0.043124261570863465,7,738.317450729603,109.0,8,16,False,"{7: np.int64(44), 0: np.int64(74), 6: np.int64(99), 3: np.int64(64), 1: np.int64(47), 4: np.int64(76), 5: np.int64(36)}",{},"{(7, np.int64(44)): {'cpu': 7}, (0, np.int64(74)): {'cpu': 6}, (6, np.int64(99)): {'cpu': 5}, (3, np.int64(64)): {'cpu': 8}, (1, np.int64(47)): {'cpu': 3}, (4, np.int64(76)): {'cpu': 9}, (5, np.int64(36)): {'cpu': 2}}",{},0.0,0.0,419.0,41.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -67}, 0: {'cpu': -70}, 6: {'cpu': -85}, 3: {'cpu': -64}, 1: {'cpu': -89}, 4: {'cpu': -81}, 5: {'cpu': -60}}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,False,True,False,0,[],0,0.0,,,,7.0,0.0
