v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,rdma_mode,fallback_count,rdma_link_count,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,16.0,41858.0,7660,34198.0,0.0,0.0,0,69.01953183544195,16.0,9,18,False,"{1: np.int64(25), 6: np.int64(34), 4: np.int64(90), 5: np.int64(93), 7: np.int64(4), 3: np.int64(28), 0: np.int64(78), 8: np.int64(33), 2: np.int64(21)}","{(0, 3): [(np.int64(78), 77), (77, 86), (86, np.int64(28))], (0, 4): [(np.int64(78), 58), (58, np.int64(90))], (5, 7): [(np.int64(93), 18), (18, np.int64(4))], (0, 1): [(np.int64(78), 25)]}","{(1, np.int64(25)): {'cpu': 17}, (6, np.int64(34)): {'cpu': 17}, (4, np.int64(90)): {'cpu': 16}, (5, np.int64(93)): {'cpu': 8}, (7, np.int64(4)): {'cpu': 8}, (3, np.int64(28)): {'cpu': 4}, (0, np.int64(78)): {'cpu': 1}, (8, np.int64(33)): {'cpu': 1}, (2, np.int64(21)): {'cpu': 1}}","{((0, 3), (np.int64(78), 77)): {'bw': 48.0}, ((0, 3), (77, 86)): {'bw': 48.0}, ((0, 3), (86, np.int64(28))): {'bw': 48.0}, ((0, 4), (np.int64(78), 58)): {'bw': 49.0}, ((0, 4), (58, np.int64(90))): {'bw': 49.0}, ((5, 7), (np.int64(93), 18)): {'bw': 47.0}, ((5, 7), (18, np.int64(4))): {'bw': 47.0}, ((0, 1), (np.int64(78), 25)): {'bw': 32.0}}",0.0,0.0,480.0,73.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -79}, 6: {'cpu': -78}, 4: {'cpu': -84}, 5: {'cpu': -81}, 7: {'cpu': -65}, 3: {'cpu': -95}, 0: {'cpu': -81}, 8: {'cpu': -91}, 2: {'cpu': -58}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 3), 0), ((0, 4), 0), ((5, 7), 0), ((0, 1), 0)])",0.0,0.0,9.0,4.0
2,1,1,300.0,459.0,266798.7396723107,408202.07169863535,0.6535947712418301,0.6535947712418301,7,1,1,27.0,41399.0,7593,33806.0,0.00874673629242817,0.01146265863500795,1,889.3291322410356,27.0,7,11,True,"{3: np.int64(25), 2: np.int64(90), 0: np.int64(34), 4: np.int64(21), 5: np.int64(28), 6: np.int64(18), 1: np.int64(33)}","{(0, 6): [(np.int64(34), 18)], (2, 6): [(np.int64(90), 93), (93, np.int64(18))], (2, 3): [(np.int64(90), 26), (26, np.int64(25))], (1, 4): [(np.int64(33), 60), (60, np.int64(21))], (3, 6): [(np.int64(25), 73), (73, np.int64(18))], (3, 5): [(np.int64(25), 28)], (1, 3): [(np.int64(33), 25)], (1, 5): [(np.int64(33), 86), (86, np.int64(28))], (2, 4): [(np.int64(90), 26), (26, np.int64(21))], (5, 6): [(np.int64(28), 35), (35, 20), (20, np.int64(18))], (4, 6): [(np.int64(21), 58), (58, 51), (51, np.int64(18))]}","{(3, np.int64(25)): {'cpu': 14}, (2, np.int64(90)): {'cpu': 12}, (0, np.int64(34)): {'cpu': 16}, (4, np.int64(21)): {'cpu': 15}, (5, np.int64(28)): {'cpu': 8}, (6, np.int64(18)): {'cpu': 1}, (1, np.int64(33)): {'cpu': 1}}","{((0, 6), (np.int64(34), 18)): {'bw': 48.0}, ((2, 6), (np.int64(90), 93)): {'bw': 41.0}, ((2, 6), (93, np.int64(18))): {'bw': 41.0}, ((2, 3), (np.int64(90), 26)): {'bw': 34.0}, ((2, 3), (26, np.int64(25))): {'bw': 34.0}, ((1, 4), (np.int64(33), 60)): {'bw': 23.0}, ((1, 4), (60, np.int64(21))): {'bw': 23.0}, ((3, 6), (np.int64(25), 73)): {'bw': 18.0}, ((3, 6), (73, np.int64(18))): {'bw': 18.0}, ((3, 5), (np.int64(25), 28)): {'bw': 18.0}, ((1, 3), (np.int64(33), 25)): {'bw': 19.0}, ((1, 5), (np.int64(33), 86)): {'bw': 12.0}, ((1, 5), (86, np.int64(28))): {'bw': 12.0}, ((2, 4), (np.int64(90), 26)): {'bw': 9.0}, ((2, 4), (26, np.int64(21))): {'bw': 9.0}, ((5, 6), (np.int64(28), 35)): {'bw': 8.0}, ((5, 6), (35, 20)): {'bw': 8.0}, ((5, 6), (20, np.int64(18))): {'bw': 8.0}, ((4, 6), (np.int64(21), 58)): {'bw': 3.0}, ((4, 6), (58, 51)): {'bw': 3.0}, ((4, 6), (51, np.int64(18))): {'bw': 3.0}}",459.0,300.0,300.0,67.0,233.0,67.0,233.0,67.0,392.0,159.0,0.6535947712418301,408202.07169863535,266798.7396723107,581.2608707457749,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -82}, 2: {'cpu': -88}, 0: {'cpu': -79}, 4: {'cpu': -44}, 5: {'cpu': -91}, 6: {'cpu': -49}, 1: {'cpu': -91}}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 6), 0), ((2, 6), 0), ((2, 3), 0), ((1, 4), 0), ((3, 6), 0), ((3, 5), 0), ((1, 3), 0), ((1, 5), 0), ((2, 4), 0), ((5, 6), 0), ((4, 6), 0)])",0.0,0.0,7.0,11.0
3,2,2,371.0,554.0,321657.0617533934,481604.05194797134,0.6696750902527075,0.6678869508102533,7,2,1,37.0,41304.0,7560,33744.0,0.01305483028720622,0.01327563015381017,2,772.652423677221,37.0,3,2,True,"{1: np.int64(25), 2: np.int64(34), 0: np.int64(33)}","{(1, 2): [(np.int64(25), 37), (37, np.int64(34))], (0, 1): [(np.int64(33), 25)]}","{(1, np.int64(25)): {'cpu': 12}, (2, np.int64(34)): {'cpu': 15}, (0, np.int64(33)): {'cpu': 6}}","{((1, 2), (np.int64(25), 37)): {'bw': 24.0}, ((1, 2), (37, np.int64(34))): {'bw': 24.0}, ((0, 1), (np.int64(33), 25)): {'bw': 14.0}}",95.0,71.0,71.0,33.0,38.0,33.0,38.0,33.0,62.0,24.0,0.7473684210526316,73401.98024933599,54858.32208108269,577.4560219061336,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -70}, 2: {'cpu': -64}, 0: {'cpu': -85}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((1, 2), 0), ((0, 1), 0)])",0.0,0.0,3.0,2.0
4,2,2,371.0,554.0,321657.0617533934,481604.05194797134,0.6696750902527075,0.6678869508102533,7,3,1,46.0,41304.0,7560,33744.0,0.01305483028720622,0.01327563015381017,3,585.0178031143265,46.0,10,27,False,"{6: np.int64(28), 8: np.int64(25), 3: np.int64(90), 4: np.int64(4), 9: np.int64(33), 5: np.int64(63)}",{},"{(6, np.int64(28)): {'cpu': 16}, (8, np.int64(25)): {'cpu': 19}, (3, np.int64(90)): {'cpu': 14}, (4, np.int64(4)): {'cpu': 11}, (9, np.int64(33)): {'cpu': 14}, (5, np.int64(63)): {'cpu': 17}}",{},0.0,0.0,864.0,121.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -75}, 8: {'cpu': -51}, 3: {'cpu': -74}, 4: {'cpu': -62}, 9: {'cpu': -71}, 5: {'cpu': -75}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,False,True,False,0,[],0,0.0,,,,6.0,0.0
5,2,2,371.0,554.0,321657.0617533934,481604.05194797134,0.6696750902527075,0.6678869508102533,7,4,1,66.0,41304.0,7560,33744.0,0.01305483028720622,0.01327563015381017,4,525.5416162350841,66.0,9,24,False,"{6: np.int64(28), 0: np.int64(25), 2: np.int64(21), 5: np.int64(4), 1: np.int64(63), 4: np.int64(83), 8: np.int64(33), 3: np.int64(59), 7: np.int64(90)}","{(2, 5): [(np.int64(21), 83), (83, np.int64(4))], (2, 6): [(np.int64(21), 28)], (0, 1): [(np.int64(25), 64), (64, np.int64(63))], (6, 8): [(np.int64(28), 60), (60, np.int64(33))], (3, 7): [(np.int64(59), 39), (39, 70), (70, np.int64(90))], (1, 6): [(np.int64(63), 59), (59, 86), (86, np.int64(28))], (0, 5): [(np.int64(25), 26), (26, 83), (83, np.int64(4))], (3, 5): [(np.int64(59), 51), (51, 18), (18, np.int64(4))]}","{(6, np.int64(28)): {'cpu': 16}, (0, np.int64(25)): {'cpu': 18}, (2, np.int64(21)): {'cpu': 19}, (5, np.int64(4)): {'cpu': 12}, (1, np.int64(63)): {'cpu': 8}, (4, np.int64(83)): {'cpu': 10}, (8, np.int64(33)): {'cpu': 4}, (3, np.int64(59)): {'cpu': 1}, (7, np.int64(90)): {'cpu': 1}}","{((2, 5), (np.int64(21), 83)): {'bw': 44.0}, ((2, 5), (83, np.int64(4))): {'bw': 44.0}, ((2, 6), (np.int64(21), 28)): {'bw': 50.0}, ((0, 1), (np.int64(25), 64)): {'bw': 46.0}, ((0, 1), (64, np.int64(63))): {'bw': 46.0}, ((6, 8), (np.int64(28), 60)): {'bw': 46.0}, ((6, 8), (60, np.int64(33))): {'bw': 46.0}, ((3, 7), (np.int64(59), 39)): {'bw': 40.0}, ((3, 7), (39, 70)): {'bw': 40.0}, ((3, 7), (70, np.int64(90))): {'bw': 40.0}, ((1, 6), (np.int64(63), 59)): {'bw': 41.0}, ((1, 6), (59, 86)): {'bw': 41.0}, ((1, 6), (86, np.int64(28))): {'bw': 41.0}, ((0, 5), (np.int64(25), 26)): {'bw': 30.0}, ((0, 5), (26, 83)): {'bw': 30.0}, ((0, 5), (83, np.int64(4))): {'bw': 30.0}, ((3, 5), (np.int64(59), 51)): {'bw': 31.0}, ((3, 5), (51, 18)): {'bw': 31.0}, ((3, 5), (18, np.int64(4))): {'bw': 31.0}}",0.0,0.0,682.0,89.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -75}, 0: {'cpu': -52}, 2: {'cpu': -25}, 5: {'cpu': -61}, 1: {'cpu': -84}, 4: {'cpu': -76}, 8: {'cpu': -81}, 3: {'cpu': -99}, 7: {'cpu': -87}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((2, 5), 0), ((2, 6), 0), ((0, 1), 0), ((6, 8), 0), ((3, 7), 0), ((1, 6), 0), ((0, 5), 0), ((3, 5), 0)])",0.0,0.0,9.0,8.0
6,2,2,371.0,554.0,321657.0617533934,481604.05194797134,0.6696750902527075,0.6678869508102533,7,5,1,70.0,41304.0,7560,33744.0,0.01305483028720622,0.01327563015381017,5,1384.6289627077263,70.0,10,14,False,"{5: np.int64(28), 6: np.int64(25), 2: np.int64(33), 3: np.int64(86), 1: np.int64(90), 4: np.int64(78), 8: np.int64(4), 0: np.int64(35), 7: np.int64(34), 9: np.int64(77)}","{(3, 4): [(np.int64(86), 77), (77, np.int64(78))], (1, 2): [(np.int64(90), 22), (22, np.int64(33))], (4, 5): [(np.int64(78), 46), (46, 73), (73, np.int64(28))], (5, 6): [(np.int64(28), 25)], (3, 6): [(np.int64(86), 25)], (2, 6): [(np.int64(33), 25)]}","{(5, np.int64(28)): {'cpu': 20}, (6, np.int64(25)): {'cpu': 10}, (2, np.int64(33)): {'cpu': 15}, (3, np.int64(86)): {'cpu': 9}, (1, np.int64(90)): {'cpu': 13}, (4, np.int64(78)): {'cpu': 6}, (8, np.int64(4)): {'cpu': 20}, (0, np.int64(35)): {'cpu': 4}, (7, np.int64(34)): {'cpu': 20}, (9, np.int64(77)): {'cpu': 2}}","{((3, 4), (np.int64(86), 77)): {'bw': 50.0}, ((3, 4), (77, np.int64(78))): {'bw': 50.0}, ((1, 2), (np.int64(90), 22)): {'bw': 47.0}, ((1, 2), (22, np.int64(33))): {'bw': 47.0}, ((4, 5), (np.int64(78), 46)): {'bw': 48.0}, ((4, 5), (46, 73)): {'bw': 48.0}, ((4, 5), (73, np.int64(28))): {'bw': 48.0}, ((5, 6), (np.int64(28), 25)): {'bw': 40.0}, ((3, 6), (np.int64(86), 25)): {'bw': 36.0}, ((2, 6), (np.int64(33), 25)): {'bw': 39.0}}",0.0,0.0,534.0,119.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -71}, 6: {'cpu': -60}, 2: {'cpu': -70}, 3: {'cpu': -58}, 1: {'cpu': -75}, 4: {'cpu': -76}, 8: {'cpu': -53}, 0: {'cpu': -79}, 7: {'cpu': -44}, 9: {'cpu': -87}}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((3, 4), 0), ((1, 2), 0), ((4, 5), 0), ((5, 6), 0), ((3, 6), 0), ((2, 6), 0)])",0.0,0.0,10.0,6.0
7,3,3,517.0,788.0,341322.2416483854,513122.2169851504,0.6560913705583756,0.6651870263069571,8,6,1,80.0,41070.0,7519,33551.0,0.018407310704960822,0.018919235042984983,6,134.69301297939768,80.0,4,4,True,"{2: np.int64(28), 0: np.int64(25), 3: np.int64(90), 1: np.int64(4)}","{(2, 3): [(np.int64(28), 90)], (0, 3): [(np.int64(25), 26), (26, np.int64(90))], (1, 2): [(np.int64(4), 83), (83, 21), (21, np.int64(28))], (0, 1): [(np.int64(25), 96), (96, 18), (18, np.int64(4))]}","{(2, np.int64(28)): {'cpu': 17}, (0, np.int64(25)): {'cpu': 18}, (3, np.int64(90)): {'cpu': 2}, (1, np.int64(4)): {'cpu': 4}}","{((2, 3), (np.int64(28), 90)): {'bw': 49.0}, ((0, 3), (np.int64(25), 26)): {'bw': 24.0}, ((0, 3), (26, np.int64(90))): {'bw': 24.0}, ((1, 2), (np.int64(4), 83)): {'bw': 21.0}, ((1, 2), (83, 21)): {'bw': 21.0}, ((1, 2), (21, np.int64(28))): {'bw': 21.0}, ((0, 1), (np.int64(25), 96)): {'bw': 11.0}, ((0, 1), (96, 18)): {'bw': 11.0}, ((0, 1), (18, np.int64(4))): {'bw': 11.0}}",234.0,146.0,146.0,41.0,105.0,41.0,105.0,41.0,193.0,88.0,0.6239316239316239,31518.165037179057,19665.17989499206,84.0392303204789,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -74}, 0: {'cpu': -52}, 3: {'cpu': -86}, 1: {'cpu': -69}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((2, 3), 0), ((0, 3), 0), ((1, 2), 0), ((0, 1), 0)])",0.0,0.0,4.0,4.0
7,3,3,517.0,788.0,341322.2416483854,513122.2169851504,0.6560913705583756,0.6651870263069571,8,7,0,85.01953183544195,41070.0,7519,33551.0,0.018407310704960822,0.018919235042984983,0,69.01953183544195,16.0,9,18,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,,,,
8,4,4,1119.0,2017.0,539000.3779409663,916687.714499406,0.5547843331680714,0.5879869113717848,14,8,1,92.0,39841.0,7427,32414.0,0.030417754569190603,0.05216679337972985,7,328.3689971637556,92.0,9,18,True,"{5: np.int64(33), 7: np.int64(78), 2: np.int64(34), 8: np.int64(4), 6: np.int64(77), 3: np.int64(59), 1: np.int64(35), 4: np.int64(12), 0: np.int64(63)}","{(4, 6): [(np.int64(12), 77)], (3, 8): [(np.int64(59), 83), (83, np.int64(4))], (2, 5): [(np.int64(34), 15), (15, 1), (1, np.int64(33))], (3, 5): [(np.int64(59), 86), (86, np.int64(33))], (1, 5): [(np.int64(35), 32), (32, np.int64(33))], (0, 7): [(np.int64(63), 77), (77, np.int64(78))], (5, 8): [(np.int64(33), 31), (31, 17), (17, np.int64(4))], (2, 3): [(np.int64(34), 39), (39, np.int64(59))], (1, 8): [(np.int64(35), 65), (65, np.int64(4))], (1, 3): [(np.int64(35), 19), (19, 39), (39, np.int64(59))], (7, 8): [(np.int64(78), 58), (58, 17), (17, np.int64(4))], (0, 4): [(np.int64(63), 77), (77, np.int64(12))], (1, 7): [(np.int64(35), 20), (20, 80), (80, np.int64(78))], (0, 3): [(np.int64(63), 59)], (5, 6): [(np.int64(33), 0), (0, 86), (86, np.int64(77))], (2, 6): [(np.int64(34), 3), (3, np.int64(77))], (6, 8): [(np.int64(77), 12), (12, 82), (82, np.int64(4))], (4, 7): [(np.int64(12), 77), (77, np.int64(78))]}","{(5, np.int64(33)): {'cpu': 17}, (7, np.int64(78)): {'cpu': 20}, (2, np.int64(34)): {'cpu': 16}, (8, np.int64(4)): {'cpu': 9}, (6, np.int64(77)): {'cpu': 14}, (3, np.int64(59)): {'cpu': 4}, (1, np.int64(35)): {'cpu': 5}, (4, np.int64(12)): {'cpu': 5}, (0, np.int64(63)): {'cpu': 2}}","{((4, 6), (np.int64(12), 77)): {'bw': 49.0}, ((3, 8), (np.int64(59), 83)): {'bw': 46.0}, ((3, 8), (83, np.int64(4))): {'bw': 46.0}, ((2, 5), (np.int64(34), 15)): {'bw': 48.0}, ((2, 5), (15, 1)): {'bw': 48.0}, ((2, 5), (1, np.int64(33))): {'bw': 48.0}, ((3, 5), (np.int64(59), 86)): {'bw': 41.0}, ((3, 5), (86, np.int64(33))): {'bw': 41.0}, ((1, 5), (np.int64(35), 32)): {'bw': 37.0}, ((1, 5), (32, np.int64(33))): {'bw': 37.0}, ((0, 7), (np.int64(63), 77)): {'bw': 35.0}, ((0, 7), (77, np.int64(78))): {'bw': 35.0}, ((5, 8), (np.int64(33), 31)): {'bw': 35.0}, ((5, 8), (31, 17)): {'bw': 35.0}, ((5, 8), (17, np.int64(4))): {'bw': 35.0}, ((2, 3), (np.int64(34), 39)): {'bw': 36.0}, ((2, 3), (39, np.int64(59))): {'bw': 36.0}, ((1, 8), (np.int64(35), 65)): {'bw': 34.0}, ((1, 8), (65, np.int64(4))): {'bw': 34.0}, ((1, 3), (np.int64(35), 19)): {'bw': 31.0}, ((1, 3), (19, 39)): {'bw': 31.0}, ((1, 3), (39, np.int64(59))): {'bw': 31.0}, ((7, 8), (np.int64(78), 58)): {'bw': 32.0}, ((7, 8), (58, 17)): {'bw': 32.0}, ((7, 8), (17, np.int64(4))): {'bw': 32.0}, ((0, 4), (np.int64(63), 77)): {'bw': 26.0}, ((0, 4), (77, np.int64(12))): {'bw': 26.0}, ((1, 7), (np.int64(35), 20)): {'bw': 21.0}, ((1, 7), (20, 80)): {'bw': 21.0}, ((1, 7), (80, np.int64(78))): {'bw': 21.0}, ((0, 3), (np.int64(63), 59)): {'bw': 14.0}, ((5, 6), (np.int64(33), 0)): {'bw': 11.0}, ((5, 6), (0, 86)): {'bw': 11.0}, ((5, 6), (86, np.int64(77))): {'bw': 11.0}, ((2, 6), (np.int64(34), 3)): {'bw': 10.0}, ((2, 6), (3, np.int64(77))): {'bw': 10.0}, ((6, 8), (np.int64(77), 12)): {'bw': 2.0}, ((6, 8), (12, 82)): {'bw': 2.0}, ((6, 8), (82, np.int64(4))): {'bw': 2.0}, ((4, 7), (np.int64(12), 77)): {'bw': 2.0}, ((4, 7), (77, np.int64(78))): {'bw': 2.0}}",1229.0,602.0,602.0,92.0,510.0,92.0,510.0,92.0,1137.0,627.0,0.4898291293734744,403565.49751425564,197678.13629258086,160.84469999396327,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -68}, 7: {'cpu': -62}, 2: {'cpu': -48}, 8: {'cpu': -60}, 6: {'cpu': -75}, 3: {'cpu': -96}, 1: {'cpu': -78}, 4: {'cpu': -81}, 0: {'cpu': -90}}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((4, 6), 0), ((3, 8), 0), ((2, 5), 0), ((3, 5), 0), ((1, 5), 0), ((0, 7), 0), ((5, 8), 0), ((2, 3), 0), ((1, 8), 0), ((1, 3), 0), ((7, 8), 0), ((0, 4), 0), ((1, 7), 0), ((0, 3), 0), ((5, 6), 0), ((2, 6), 0), ((6, 8), 0), ((4, 7), 0)])",0.0,0.0,9.0,18.0
9,4,4,1119.0,2017.0,539000.3779409663,916687.714499406,0.5547843331680714,0.5879869113717848,14,9,1,102.0,39841.0,7427,32414.0,0.030417754569190603,0.05216679337972985,8,1311.454495210449,102.0,9,18,False,"{8: np.int64(22), 0: np.int64(90), 2: np.int64(10), 6: np.int64(99), 1: np.int64(64), 5: np.int64(25), 3: np.int64(28), 4: np.int64(94), 7: np.int64(61)}","{(0, 2): [(np.int64(90), 22), (22, 40), (40, 60), (60, np.int64(10))], (4, 8): [(np.int64(94), 72), (72, 45), (45, np.int64(22))], (7, 8): [(np.int64(61), 22)], (6, 7): [(np.int64(99), 88), (88, 85), (85, np.int64(61))], (0, 6): [(np.int64(90), 89), (89, np.int64(99))], (3, 7): [(np.int64(28), 21), (21, 42), (42, np.int64(61))], (1, 5): [(np.int64(64), 25)], (0, 1): [(np.int64(90), 70), (70, 19), (19, 63), (63, np.int64(64))], (6, 8): [(np.int64(99), 88), (88, np.int64(22))], (1, 4): [(np.int64(64), 63), (63, np.int64(94))]}","{(8, np.int64(22)): {'cpu': 16}, (0, np.int64(90)): {'cpu': 18}, (2, np.int64(10)): {'cpu': 20}, (6, np.int64(99)): {'cpu': 14}, (1, np.int64(64)): {'cpu': 10}, (5, np.int64(25)): {'cpu': 11}, (3, np.int64(28)): {'cpu': 5}, (4, np.int64(94)): {'cpu': 3}, (7, np.int64(61)): {'cpu': 1}}","{((0, 2), (np.int64(90), 22)): {'bw': 50.0}, ((0, 2), (22, 40)): {'bw': 50.0}, ((0, 2), (40, 60)): {'bw': 50.0}, ((0, 2), (60, np.int64(10))): {'bw': 50.0}, ((4, 8), (np.int64(94), 72)): {'bw': 49.0}, ((4, 8), (72, 45)): {'bw': 49.0}, ((4, 8), (45, np.int64(22))): {'bw': 49.0}, ((7, 8), (np.int64(61), 22)): {'bw': 45.0}, ((6, 7), (np.int64(99), 88)): {'bw': 41.0}, ((6, 7), (88, 85)): {'bw': 41.0}, ((6, 7), (85, np.int64(61))): {'bw': 41.0}, ((0, 6), (np.int64(90), 89)): {'bw': 42.0}, ((0, 6), (89, np.int64(99))): {'bw': 42.0}, ((3, 7), (np.int64(28), 21)): {'bw': 39.0}, ((3, 7), (21, 42)): {'bw': 39.0}, ((3, 7), (42, np.int64(61))): {'bw': 39.0}, ((1, 5), (np.int64(64), 25)): {'bw': 35.0}, ((0, 1), (np.int64(90), 70)): {'bw': 36.0}, ((0, 1), (70, 19)): {'bw': 36.0}, ((0, 1), (19, 63)): {'bw': 36.0}, ((0, 1), (63, np.int64(64))): {'bw': 36.0}, ((6, 8), (np.int64(99), 88)): {'bw': 32.0}, ((6, 8), (88, np.int64(22))): {'bw': 32.0}, ((1, 4), (np.int64(64), 63)): {'bw': 21.0}, ((1, 4), (63, np.int64(94))): {'bw': 21.0}}",0.0,0.0,584.0,98.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {8: {'cpu': -72}, 0: {'cpu': -68}, 2: {'cpu': -60}, 6: {'cpu': -58}, 1: {'cpu': -47}, 5: {'cpu': -41}, 3: {'cpu': -69}, 4: {'cpu': -53}, 7: {'cpu': -88}}, 'link_level': {}, 'path_level': {}}","{'node_level': {8: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 2), 0), ((4, 8), 0), ((7, 8), 0), ((6, 7), 0), ((0, 6), 0), ((3, 7), 0), ((1, 5), 0), ((0, 1), 0), ((6, 8), 0), ((1, 4), 0)])",0.0,0.0,9.0,10.0
