v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,42634,7761,34873,0.0,0.0,0,69.22537333413192,11.0,10,20,False,"{1: 50, 4: 31, 3: 73, 2: 59, 5: 86, 8: 66, 6: 57, 9: 85, 0: 60, 7: 13}","{(0, 1): [(60, 76), (76, 50)], (0, 3): [(60, 48), (48, 73)], (0, 6): []}","{(1, 50): {'cpu': 16}, (4, 31): {'cpu': 16}, (3, 73): {'cpu': 18}, (2, 59): {'cpu': 20}, (5, 86): {'cpu': 14}, (8, 66): {'cpu': 14}, (6, 57): {'cpu': 5}, (9, 85): {'cpu': 3}, (0, 60): {'cpu': 2}, (7, 13): {'cpu': 1}}","{((0, 1), (60, 76)): {'bw': 42}, ((0, 1), (76, 50)): {'bw': 42}, ((0, 3), (60, 48)): {'bw': 50}, ((0, 3), (48, 73)): {'bw': 50}}",0.0,0.0,816.0,109.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.635952296682397,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 4: {'cpu': -63}, 3: {'cpu': -69}, 2: {'cpu': -73}, 5: {'cpu': -46}, 8: {'cpu': -52}, 6: {'cpu': -66}, 9: {'cpu': -95}, 0: {'cpu': -84}, 7: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -25}, (0, 3): {'bw': -8}, (0, 6): {'bw': -32}}, 'path_level': {(0, 1): {'latency': -2.5280110027332903}, (0, 3): {'latency': -2.919306908799907}, (0, 6): {'latency': 8.635952296682397}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 6): {'latency': 8.635952296682397}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,3.0
2,1,1,175.0,222.0,70509.09262466723,89445.8203581493,0.7882882882882883,0.7882882882882882,5,1,1,15.0,42412,7674,34738,0.01120989563200614,0.0038711897456484845,1,402.9091007123842,15.0,5,5,True,"{1: 50, 4: 31, 3: 73, 0: 59, 2: 86}","{(0, 1): [(59, 25), (25, 50)], (0, 4): [(59, 45), (45, 31)], (1, 3): [(50, 55), (55, 73)], (1, 4): [(50, 31)], (2, 3): [(86, 73)]}","{(1, 50): {'cpu': 19}, (4, 31): {'cpu': 16}, (3, 73): {'cpu': 19}, (0, 59): {'cpu': 17}, (2, 86): {'cpu': 16}}","{((0, 1), (59, 25)): {'bw': 10}, ((0, 1), (25, 50)): {'bw': 10}, ((0, 4), (59, 45)): {'bw': 14}, ((0, 4), (45, 31)): {'bw': 14}, ((1, 3), (50, 55)): {'bw': 23}, ((1, 3), (55, 73)): {'bw': 23}, ((1, 4), (50, 31)): {'bw': 28}, ((2, 3), (86, 73)): {'bw': 13}}",222.0,175.0,175.0,87.0,88.0,87.0,88.0,87.0,135.0,47.0,0.7882882882882883,89445.8203581493,70509.09262466723,317.6085253363389,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -68}, 4: {'cpu': -63}, 3: {'cpu': -68}, 0: {'cpu': -76}, 2: {'cpu': -44}}, 'link_level': {(0, 1): {'bw': -51}, (0, 4): {'bw': -45}, (1, 3): {'bw': -35}, (1, 4): {'bw': -49}, (2, 3): {'bw': -57}}, 'path_level': {(0, 1): {'latency': -1.8842449861437789}, (0, 4): {'latency': -1.9352017617463777}, (1, 3): {'latency': -0.8768217825309987}, (1, 4): {'latency': -5.217022449090049}, (2, 3): {'latency': -10.521825105890457}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (2, 3): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0
3,1,1,175.0,222.0,70509.09262466723,89445.8203581493,0.7882882882882883,0.7882882882882882,5,2,1,30.0,42412,7674,34738,0.01120989563200614,0.0038711897456484845,2,104.01345834808855,30.0,10,20,False,"{1: 50, 6: 66, 2: 73, 9: 57, 0: 31, 7: 85, 3: 60, 8: 59, 5: 13, 4: 4}","{(0, 1): [(31, 50)], (0, 3): [(31, 7), (7, 60)], (0, 5): [(31, 13)], (1, 2): []}","{(1, 50): {'cpu': 16}, (6, 66): {'cpu': 19}, (2, 73): {'cpu': 11}, (9, 57): {'cpu': 5}, (0, 31): {'cpu': 16}, (7, 85): {'cpu': 14}, (3, 60): {'cpu': 10}, (8, 59): {'cpu': 15}, (5, 13): {'cpu': 15}, (4, 4): {'cpu': 14}}","{((0, 1), (31, 50)): {'bw': 26}, ((0, 3), (31, 7)): {'bw': 38}, ((0, 3), (7, 60)): {'bw': 38}, ((0, 5), (31, 13)): {'bw': 27}}",0.0,0.0,631.0,135.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.1507003114543,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -52}, 6: {'cpu': -47}, 2: {'cpu': -57}, 9: {'cpu': -66}, 0: {'cpu': -47}, 7: {'cpu': -84}, 3: {'cpu': -76}, 8: {'cpu': -61}, 5: {'cpu': -67}, 4: {'cpu': -36}}, 'link_level': {(0, 1): {'bw': -23}, (0, 3): {'bw': -14}, (0, 5): {'bw': -51}, (1, 2): {'bw': -20}}, 'path_level': {(0, 1): {'latency': -4.497289880062157}, (0, 3): {'latency': -0.5749980725038935}, (0, 5): {'latency': -6.807741313259502}, (1, 2): {'latency': 7.1507003114543}}}","{'node_level': {1: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 5): {'latency': 0}, (1, 2): {'latency': 7.1507003114543}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,4.0
4,1,1,175.0,222.0,70509.09262466723,89445.8203581493,0.7882882882882883,0.7882882882882882,5,3,1,43.0,42412,7674,34738,0.01120989563200614,0.0038711897456484845,3,1519.332862724567,43.0,10,27,False,"{1: 50, 7: 66, 8: 73, 9: 57, 2: 31, 0: 85, 4: 60, 3: 59, 5: 13, 6: 4}","{(0, 2): [(85, 6), (6, 31)], (0, 4): [(85, 43), (43, 60)], (0, 7): [(85, 11), (11, 66)], (0, 8): [(85, 15), (15, 73)], (1, 3): [(50, 25), (25, 59)], (1, 4): []}","{(1, 50): {'cpu': 18}, (7, 66): {'cpu': 8}, (8, 73): {'cpu': 20}, (9, 57): {'cpu': 20}, (2, 31): {'cpu': 18}, (0, 85): {'cpu': 9}, (4, 60): {'cpu': 4}, (3, 59): {'cpu': 2}, (5, 13): {'cpu': 3}, (6, 4): {'cpu': 11}}","{((0, 2), (85, 6)): {'bw': 14}, ((0, 2), (6, 31)): {'bw': 14}, ((0, 4), (85, 43)): {'bw': 9}, ((0, 4), (43, 60)): {'bw': 9}, ((0, 7), (85, 11)): {'bw': 49}, ((0, 7), (11, 66)): {'bw': 49}, ((0, 8), (85, 15)): {'bw': 33}, ((0, 8), (15, 73)): {'bw': 33}, ((1, 3), (50, 25)): {'bw': 39}, ((1, 3), (25, 59)): {'bw': 39}}",0.0,0.0,864.0,113.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.496033739477706,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -50}, 7: {'cpu': -58}, 8: {'cpu': -48}, 9: {'cpu': -51}, 2: {'cpu': -45}, 0: {'cpu': -89}, 4: {'cpu': -82}, 3: {'cpu': -74}, 5: {'cpu': -79}, 6: {'cpu': -39}}, 'link_level': {(0, 2): {'bw': -39}, (0, 4): {'bw': -45}, (0, 7): {'bw': -2}, (0, 8): {'bw': -63}, (1, 3): {'bw': -12}, (1, 4): {'bw': -52}}, 'path_level': {(0, 2): {'latency': -9.154124502560038}, (0, 4): {'latency': -0.8948998716973096}, (0, 7): {'latency': -6.596947711558645}, (0, 8): {'latency': -7.398174561936042}, (1, 3): {'latency': -1.2221149644556402}, (1, 4): {'latency': 6.496033739477706}}}","{'node_level': {1: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 4): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 6.496033739477706}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,6.0
5,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,4,1,59.0,42346,7659,34687,0.013142636258214102,0.005333639205115759,4,572.2419097190561,59.0,2,1,True,"{0: 50, 1: 66}","{(0, 1): [(50, 31), (31, 77), (77, 66)]}","{(0, 50): {'cpu': 12}, (1, 66): {'cpu': 3}}","{((0, 1), (50, 31)): {'bw': 17}, ((0, 1), (31, 77)): {'bw': 17}, ((0, 1), (77, 66)): {'bw': 17}}",66.0,32.0,32.0,15.0,17.0,15.0,17.0,15.0,51.0,34.0,0.48484848484848486,37767.96604145771,18311.741111009796,277.4506228940878,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -56}, 1: {'cpu': -63}}, 'link_level': {(0, 1): {'bw': -32}}, 'path_level': {(0, 1): {'latency': -0.719796752047027}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
6,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,5,1,71.0,42346,7659,34687,0.013142636258214102,0.005333639205115759,5,389.37396559521494,71.0,7,12,False,"{3: 73, 2: 57, 4: 66, 1: 85, 5: 31, 6: 59, 0: 60}","{(0, 3): [(60, 48), (48, 73)], (0, 4): [(60, 66)], (1, 3): []}","{(3, 73): {'cpu': 20}, (2, 57): {'cpu': 14}, (4, 66): {'cpu': 5}, (1, 85): {'cpu': 13}, (5, 31): {'cpu': 16}, (6, 59): {'cpu': 9}, (0, 60): {'cpu': 14}}","{((0, 3), (60, 48)): {'bw': 17}, ((0, 3), (48, 73)): {'bw': 17}, ((0, 4), (60, 66)): {'bw': 17}}",0.0,0.0,327.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.818756987686509,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -48}, 2: {'cpu': -57}, 4: {'cpu': -58}, 1: {'cpu': -85}, 5: {'cpu': -47}, 6: {'cpu': -67}, 0: {'cpu': -72}}, 'link_level': {(0, 3): {'bw': -41}, (0, 4): {'bw': -34}, (1, 3): {'bw': -9}}, 'path_level': {(0, 3): {'latency': -2.5660777445149296}, (0, 4): {'latency': -9.180538589999584}, (1, 3): {'latency': 5.818756987686509}}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 5.818756987686509}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,3.0
6,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,6,0,80.22537333413192,42346,7659,34687,0.013142636258214102,0.005333639205115759,0,69.22537333413192,11.0,10,20,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
7,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,7,1,88.0,42346,7659,34687,0.013142636258214102,0.005333639205115759,6,614.0996225091485,88.0,5,5,False,"{0: 73, 2: 57, 1: 66, 3: 85, 4: 31}","{(0, 1): []}","{(0, 73): {'cpu': 20}, (2, 57): {'cpu': 15}, (1, 66): {'cpu': 9}, (3, 85): {'cpu': 7}, (4, 31): {'cpu': 14}}",{},0.0,0.0,182.0,65.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.712962995767084,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 2: {'cpu': -56}, 1: {'cpu': -54}, 3: {'cpu': -91}, 4: {'cpu': -49}}, 'link_level': {(0, 1): {'bw': -11}}, 'path_level': {(0, 1): {'latency': 5.712962995767084}}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 5.712962995767084}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,1.0
8,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,8,1,94.0,42346,7659,34687,0.013142636258214102,0.005333639205115759,7,153.18559621141526,94.0,7,9,False,"{5: 73, 4: 57, 1: 66, 3: 85, 2: 31, 0: 59, 6: 60}","{(0, 4): [(59, 57)], (0, 6): [(59, 38), (38, 60)], (1, 2): [(66, 77), (77, 31)], (1, 5): []}","{(5, 73): {'cpu': 19}, (4, 57): {'cpu': 5}, (1, 66): {'cpu': 15}, (3, 85): {'cpu': 14}, (2, 31): {'cpu': 4}, (0, 59): {'cpu': 4}, (6, 60): {'cpu': 4}}","{((0, 4), (59, 57)): {'bw': 45}, ((0, 6), (59, 38)): {'bw': 36}, ((0, 6), (38, 60)): {'bw': 36}, ((1, 2), (66, 77)): {'bw': 15}, ((1, 2), (77, 31)): {'bw': 15}}",0.0,0.0,328.0,65.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.861482070189156,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -49}, 4: {'cpu': -66}, 1: {'cpu': -48}, 3: {'cpu': -84}, 2: {'cpu': -59}, 0: {'cpu': -72}, 6: {'cpu': -82}}, 'link_level': {(0, 4): {'bw': -48}, (0, 6): {'bw': -61}, (1, 2): {'bw': -20}, (1, 5): {'bw': 5}}, 'path_level': {(0, 4): {'latency': -5.307956493617555}, (0, 6): {'latency': -5.261928201863485}, (1, 2): {'latency': -10.916098669818899}, (1, 5): {'latency': 7.861482070189156}}}","{'node_level': {5: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 5}}, 'path_level': {(0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 7.861482070189156}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,4.0
9,2,2,207.0,288.0,88820.83373567704,127213.78639960701,0.71875,0.6982013211734056,6,9,1,107.0,42346,7659,34687,0.013142636258214102,0.005333639205115759,8,1306.7725652947581,107.0,9,21,False,"{2: 73, 3: 57, 7: 66, 1: 85, 6: 31, 8: 59, 5: 60, 4: 50, 0: 13}","{(0, 1): [(13, 85)], (0, 6): [(13, 31)], (1, 2): [(85, 15), (15, 73)], (1, 3): [(85, 41), (41, 57)], (1, 4): [(85, 50)], (1, 6): [(85, 6), (6, 31)], (1, 7): [(85, 11), (11, 66)], (2, 3): [(73, 59), (59, 57)], (2, 4): [(73, 55), (55, 50)], (2, 5): [(73, 95), (95, 60)], (2, 6): []}","{(2, 73): {'cpu': 19}, (3, 57): {'cpu': 15}, (7, 66): {'cpu': 16}, (1, 85): {'cpu': 5}, (6, 31): {'cpu': 15}, (8, 59): {'cpu': 9}, (5, 60): {'cpu': 3}, (4, 50): {'cpu': 11}, (0, 13): {'cpu': 4}}","{((0, 1), (13, 85)): {'bw': 38}, ((0, 6), (13, 31)): {'bw': 28}, ((1, 2), (85, 15)): {'bw': 34}, ((1, 2), (15, 73)): {'bw': 34}, ((1, 3), (85, 41)): {'bw': 35}, ((1, 3), (41, 57)): {'bw': 35}, ((1, 4), (85, 50)): {'bw': 11}, ((1, 6), (85, 6)): {'bw': 48}, ((1, 6), (6, 31)): {'bw': 48}, ((1, 7), (85, 11)): {'bw': 18}, ((1, 7), (11, 66)): {'bw': 18}, ((2, 3), (73, 59)): {'bw': 41}, ((2, 3), (59, 57)): {'bw': 41}, ((2, 4), (73, 55)): {'bw': 12}, ((2, 4), (55, 50)): {'bw': 12}, ((2, 5), (73, 95)): {'bw': 29}, ((2, 5), (95, 60)): {'bw': 29}}",0.0,0.0,657.0,97.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.258764482106583,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -49}, 3: {'cpu': -56}, 7: {'cpu': -47}, 1: {'cpu': -93}, 6: {'cpu': -48}, 8: {'cpu': -67}, 5: {'cpu': -83}, 4: {'cpu': -45}, 0: {'cpu': -78}}, 'link_level': {(0, 1): {'bw': -27}, (0, 6): {'bw': -50}, (1, 2): {'bw': -62}, (1, 3): {'bw': -34}, (1, 4): {'bw': -39}, (1, 6): {'bw': -5}, (1, 7): {'bw': -33}, (2, 3): {'bw': -31}, (2, 4): {'bw': -23}, (2, 5): {'bw': -30}, (2, 6): {'bw': -42}}, 'path_level': {(0, 1): {'latency': -10.497808376206788}, (0, 6): {'latency': -7.611882838025119}, (1, 2): {'latency': -3.5532369457269226}, (1, 3): {'latency': -5.131758561361101}, (1, 4): {'latency': -4.974974964467323}, (1, 6): {'latency': -0.058551580299938344}, (1, 7): {'latency': -7.595755766190514}, (2, 3): {'latency': -4.5822834689302665}, (2, 4): {'latency': -1.9712078966937518}, (2, 5): {'latency': -0.9884332225198271}, (2, 6): {'latency': 6.258764482106583}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 8: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 7): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (1, 6): {'latency': 0}, (1, 7): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 5): {'latency': 0}, (2, 6): {'latency': 6.258764482106583}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,11.0
