v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,rdma_mode,fallback_count,rdma_link_count,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,16.0,46849.0,7253,39596.0,0.0,0.0,0,583.4367577311515,16.0,7,8,False,"{4: np.int64(18), 0: np.int64(60), 3: np.int64(1), 1: np.int64(5), 2: np.int64(91), 6: np.int64(32), 5: np.int64(72)}","{(0, 3): [(np.int64(60), 3), (3, 77), (77, np.int64(1))], (0, 4): [(np.int64(60), 46), (46, 41), (41, np.int64(18))], (1, 4): [(np.int64(5), 18)], (2, 4): [(np.int64(91), 30), (30, 37), (37, np.int64(18))], (5, 6): [(np.int64(72), 45), (45, 44), (44, np.int64(32))]}","{(4, np.int64(18)): {'cpu': 8}, (0, np.int64(60)): {'cpu': 13}, (3, np.int64(1)): {'cpu': 9}, (1, np.int64(5)): {'cpu': 11}, (2, np.int64(91)): {'cpu': 15}, (6, np.int64(32)): {'cpu': 6}, (5, np.int64(72)): {'cpu': 14}}","{((0, 3), (np.int64(60), 3)): {'bw': 48.0}, ((0, 3), (3, 77)): {'bw': 48.0}, ((0, 3), (77, np.int64(1))): {'bw': 48.0}, ((0, 4), (np.int64(60), 46)): {'bw': 43.0}, ((0, 4), (46, 41)): {'bw': 43.0}, ((0, 4), (41, np.int64(18))): {'bw': 43.0}, ((1, 4), (np.int64(5), 18)): {'bw': 28.0}, ((2, 4), (np.int64(91), 30)): {'bw': 26.0}, ((2, 4), (30, 37)): {'bw': 26.0}, ((2, 4), (37, np.int64(18))): {'bw': 26.0}, ((5, 6), (np.int64(72), 45)): {'bw': 15.0}, ((5, 6), (45, 44)): {'bw': 15.0}, ((5, 6), (44, np.int64(32))): {'bw': 15.0}}",0.0,0.0,255.0,76.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -81}, 0: {'cpu': -77}, 3: {'cpu': -88}, 1: {'cpu': -78}, 2: {'cpu': -75}, 6: {'cpu': -91}, 5: {'cpu': -74}}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 3), 0), ((0, 4), 0), ((1, 4), 0), ((2, 4), 0), ((5, 6), 0)])",1.0,0.0,7.0,5.0
2,1,1,26.0,28.0,27615.08313701147,29739.32030139697,0.9285714285714286,0.9285714285714285,2,1,1,30.0,46821.0,7228,39593.0,0.003446849579484379,7.57652288110311e-05,1,1062.1185821927488,30.0,2,1,True,"{1: np.int64(18), 0: np.int64(60)}","{(0, 1): [(np.int64(60), 46), (46, 41), (41, np.int64(18))]}","{(1, np.int64(18)): {'cpu': 15}, (0, np.int64(60)): {'cpu': 10}}","{((0, 1), (np.int64(60), 46)): {'bw': 1.0}, ((0, 1), (46, 41)): {'bw': 1.0}, ((0, 1), (41, np.int64(18))): {'bw': 1.0}}",28.0,26.0,26.0,25.0,1.0,25.0,1.0,25.0,3.0,2.0,0.9285714285714286,29739.32030139697,27615.08313701147,986.2529691789811,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -74}, 0: {'cpu': -80}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 1), 0)])",0.0,0.0,2.0,1.0
3,1,1,26.0,28.0,27615.08313701147,29739.32030139697,0.9285714285714286,0.9285714285714285,2,2,1,43.0,46821.0,7228,39593.0,0.003446849579484379,7.57652288110311e-05,2,1251.955851751608,43.0,5,6,False,"{1: np.int64(18), 3: np.int64(1), 0: np.int64(60), 4: np.int64(5), 2: np.int64(91)}","{(1, 4): [(np.int64(18), 5)]}","{(1, np.int64(18)): {'cpu': 17}, (3, np.int64(1)): {'cpu': 6}, (0, np.int64(60)): {'cpu': 4}, (4, np.int64(5)): {'cpu': 14}, (2, np.int64(91)): {'cpu': 13}}","{((1, 4), (np.int64(18), 5)): {'bw': 50.0}}",0.0,0.0,253.0,54.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -57}, 3: {'cpu': -91}, 0: {'cpu': -76}, 4: {'cpu': -75}, 2: {'cpu': -77}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((1, 4), 0)])",0.0,0.0,5.0,1.0
4,2,2,200.0,375.0,48877.48761566293,72141.93153181109,0.5333333333333333,0.6775184220581941,5,3,1,52.0,46474.0,7202,39272.0,0.007031573142148084,0.008182644711587028,3,122.1977268888015,52.0,5,5,True,"{4: np.int64(18), 2: np.int64(1), 0: np.int64(60), 1: np.int64(5), 3: np.int64(91)}","{(1, 4): [(np.int64(5), 18)], (0, 2): [(np.int64(60), 3), (3, 77), (77, np.int64(1))], (2, 4): [(np.int64(1), 77), (77, np.int64(18))], (0, 4): [(np.int64(60), 46), (46, 41), (41, np.int64(18))], (2, 3): [(np.int64(1), 77), (77, np.int64(91))]}","{(4, np.int64(18)): {'cpu': 1}, (2, np.int64(1)): {'cpu': 6}, (0, np.int64(60)): {'cpu': 9}, (1, np.int64(5)): {'cpu': 2}, (3, np.int64(91)): {'cpu': 8}}","{((1, 4), (np.int64(5), 18)): {'bw': 36.0}, ((0, 2), (np.int64(60), 3)): {'bw': 34.0}, ((0, 2), (3, 77)): {'bw': 34.0}, ((0, 2), (77, np.int64(1))): {'bw': 34.0}, ((2, 4), (np.int64(1), 77)): {'bw': 25.0}, ((2, 4), (77, np.int64(18))): {'bw': 25.0}, ((0, 4), (np.int64(60), 46)): {'bw': 27.0}, ((0, 4), (46, 41)): {'bw': 27.0}, ((0, 4), (41, np.int64(18))): {'bw': 27.0}, ((2, 3), (np.int64(1), 77)): {'bw': 26.0}, ((2, 3), (77, np.int64(91))): {'bw': 26.0}}",347.0,174.0,174.0,26.0,148.0,26.0,148.0,26.0,321.0,173.0,0.5014409221902018,42402.61123041412,21262.40447865146,61.27494086066704,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -73}, 2: {'cpu': -91}, 0: {'cpu': -71}, 1: {'cpu': -87}, 3: {'cpu': -82}}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((1, 4), 0), ((0, 2), 0), ((2, 4), 0), ((0, 4), 0), ((2, 3), 0)])",0.0,0.0,5.0,5.0
5,3,3,482.0,902.0,166308.42369291026,291596.1985981563,0.5343680709534369,0.5703381062319576,9,4,1,65.0,45947.0,7112,38835.0,0.019440231628291782,0.019219113041721414,4,416.4217591391749,65.0,9,10,True,"{2: np.int64(18), 1: np.int64(1), 8: np.int64(5), 4: np.int64(32), 0: np.int64(72), 6: np.int64(60), 3: np.int64(91), 5: np.int64(41), 7: np.int64(7)}","{(2, 8): [(np.int64(18), 83), (83, np.int64(5))], (1, 8): [(np.int64(1), 74), (74, np.int64(5))], (0, 2): [(np.int64(72), 67), (67, 41), (41, np.int64(18))], (2, 3): [(np.int64(18), 37), (37, 30), (30, np.int64(91))], (1, 6): [(np.int64(1), 80), (80, np.int64(60))], (1, 4): [(np.int64(1), 36), (36, np.int64(32))], (2, 4): [(np.int64(18), 32)], (5, 6): [(np.int64(41), 46), (46, np.int64(60))], (2, 7): [(np.int64(18), 37), (37, 70), (70, np.int64(7))], (4, 7): [(np.int64(32), 41), (41, 68), (68, np.int64(7))]}","{(2, np.int64(18)): {'cpu': 7}, (1, np.int64(1)): {'cpu': 19}, (8, np.int64(5)): {'cpu': 3}, (4, np.int64(32)): {'cpu': 1}, (0, np.int64(72)): {'cpu': 19}, (6, np.int64(60)): {'cpu': 14}, (3, np.int64(91)): {'cpu': 12}, (5, np.int64(41)): {'cpu': 5}, (7, np.int64(7)): {'cpu': 10}}","{((2, 8), (np.int64(18), 83)): {'bw': 39.0}, ((2, 8), (83, np.int64(5))): {'bw': 39.0}, ((1, 8), (np.int64(1), 74)): {'bw': 34.0}, ((1, 8), (74, np.int64(5))): {'bw': 34.0}, ((0, 2), (np.int64(72), 67)): {'bw': 34.0}, ((0, 2), (67, 41)): {'bw': 34.0}, ((0, 2), (41, np.int64(18))): {'bw': 34.0}, ((2, 3), (np.int64(18), 37)): {'bw': 24.0}, ((2, 3), (37, 30)): {'bw': 24.0}, ((2, 3), (30, np.int64(91))): {'bw': 24.0}, ((1, 6), (np.int64(1), 80)): {'bw': 16.0}, ((1, 6), (80, np.int64(60))): {'bw': 16.0}, ((1, 4), (np.int64(1), 36)): {'bw': 13.0}, ((1, 4), (36, np.int64(32))): {'bw': 13.0}, ((2, 4), (np.int64(18), 32)): {'bw': 13.0}, ((5, 6), (np.int64(41), 46)): {'bw': 11.0}, ((5, 6), (46, np.int64(60))): {'bw': 11.0}, ((2, 7), (np.int64(18), 37)): {'bw': 6.0}, ((2, 7), (37, 70)): {'bw': 6.0}, ((2, 7), (70, np.int64(7))): {'bw': 6.0}, ((4, 7), (np.int64(32), 41)): {'bw': 2.0}, ((4, 7), (41, 68)): {'bw': 2.0}, ((4, 7), (68, np.int64(7))): {'bw': 2.0}}",527.0,282.0,282.0,90.0,192.0,90.0,192.0,90.0,437.0,245.0,0.5351043643263758,219454.26706634517,117430.93607724733,222.82910071583936,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -66}, 1: {'cpu': -72}, 8: {'cpu': -84}, 4: {'cpu': -96}, 0: {'cpu': -69}, 6: {'cpu': -57}, 3: {'cpu': -70}, 5: {'cpu': -59}, 7: {'cpu': -59}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((2, 8), 0), ((1, 8), 0), ((0, 2), 0), ((2, 3), 0), ((1, 6), 0), ((1, 4), 0), ((2, 4), 0), ((5, 6), 0), ((2, 7), 0), ((4, 7), 0)])",2.0,0.0,9.0,10.0
6,3,3,482.0,902.0,166308.42369291026,291596.1985981563,0.5343680709534369,0.5703381062319576,9,5,1,72.0,45947.0,7112,38835.0,0.019440231628291782,0.019219113041721414,5,1001.6202513226889,72.0,5,6,False,"{4: np.int64(18), 2: np.int64(32), 1: np.int64(5), 0: np.int64(98), 3: np.int64(43)}","{(1, 4): [(np.int64(5), 85), (85, 3), (3, np.int64(18))], (3, 4): [(np.int64(43), 0), (0, np.int64(18))], (2, 4): [(np.int64(32), 18)]}","{(4, np.int64(18)): {'cpu': 8}, (2, np.int64(32)): {'cpu': 13}, (1, np.int64(5)): {'cpu': 11}, (0, np.int64(98)): {'cpu': 1}, (3, np.int64(43)): {'cpu': 1}}","{((1, 4), (np.int64(5), 85)): {'bw': 37.0}, ((1, 4), (85, 3)): {'bw': 37.0}, ((1, 4), (3, np.int64(18))): {'bw': 37.0}, ((3, 4), (np.int64(43), 0)): {'bw': 37.0}, ((3, 4), (0, np.int64(18))): {'bw': 37.0}, ((2, 4), (np.int64(32), 18)): {'bw': 20.0}}",0.0,0.0,177.0,34.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -58}, 2: {'cpu': -83}, 1: {'cpu': -73}, 0: {'cpu': -62}, 3: {'cpu': -81}}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((1, 4), 0), ((3, 4), 0), ((2, 4), 0)])",1.0,0.0,5.0,3.0
7,4,4,770.0,1368.0,268728.12656641693,457316.967830983,0.5628654970760234,0.5876189721124333,12,6,1,84.0,45481.0,7045,38436.0,0.028677788501309753,0.02929588847358322,6,355.62396831078695,84.0,7,9,True,"{2: np.int64(18), 3: np.int64(32), 6: np.int64(5), 5: np.int64(98), 1: np.int64(43), 4: np.int64(38), 0: np.int64(1)}","{(2, 3): [(np.int64(18), 32)], (3, 5): [(np.int64(32), 31), (31, 45), (45, np.int64(98))], (3, 6): [(np.int64(32), 60), (60, np.int64(5))], (1, 6): [(np.int64(43), 11), (11, np.int64(5))], (1, 2): [(np.int64(43), 0), (0, np.int64(18))], (2, 6): [(np.int64(18), 5)], (4, 5): [(np.int64(38), 45), (45, np.int64(98))], (2, 5): [(np.int64(18), 98)], (0, 2): [(np.int64(1), 77), (77, np.int64(18))]}","{(2, np.int64(18)): {'cpu': 15}, (3, np.int64(32)): {'cpu': 2, 'nic_slots': 1}, (6, np.int64(5)): {'cpu': 5}, (5, np.int64(98)): {'cpu': 17, 'nic_slots': 1}, (1, np.int64(43)): {'cpu': 7}, (4, np.int64(38)): {'cpu': 5}, (0, np.int64(1)): {'cpu': 16}}","{((2, 3), (np.int64(18), 32)): {'bw': 47.0}, ((3, 5), (np.int64(32), 31)): {'bw': 35.0}, ((3, 5), (31, 45)): {'bw': 35.0}, ((3, 5), (45, np.int64(98))): {'bw': 35.0}, ((3, 6), (np.int64(32), 60)): {'bw': 31.0}, ((3, 6), (60, np.int64(5))): {'bw': 31.0}, ((1, 6), (np.int64(43), 11)): {'bw': 28.0}, ((1, 6), (11, np.int64(5))): {'bw': 28.0}, ((1, 2), (np.int64(43), 0)): {'bw': 24.0}, ((1, 2), (0, np.int64(18))): {'bw': 24.0}, ((2, 6), (np.int64(18), 5)): {'bw': 23.0}, ((4, 5), (np.int64(38), 45)): {'bw': 17.0}, ((4, 5), (45, np.int64(98))): {'bw': 17.0}, ((2, 5), (np.int64(18), 98)): {'bw': 8.0}, ((0, 2), (np.int64(1), 77)): {'bw': 8.0}, ((0, 2), (77, np.int64(18))): {'bw': 8.0}}",466.0,288.0,288.0,67.0,221.0,67.0,221.0,67.0,399.0,178.0,0.6180257510729614,165720.76923282671,102419.70287350664,219.78477011482113,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -51}, 3: {'cpu': -94}, 6: {'cpu': -79}, 5: {'cpu': -46}, 1: {'cpu': -75}, 4: {'cpu': -74}, 0: {'cpu': -56}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((2, 3), 0), ((3, 5), 1), ((3, 6), 0), ((1, 6), 0), ((1, 2), 0), ((2, 6), 0), ((4, 5), 0), ((2, 5), 0), ((0, 2), 0)])",0.0,1.0,7.0,9.0
8,4,4,770.0,1368.0,268728.12656641693,457316.967830983,0.5628654970760234,0.5876189721124333,12,7,1,97.0,45481.0,7045,38436.0,0.028677788501309753,0.02929588847358322,7,1242.7911631197298,97.0,4,5,False,"{0: np.int64(13), 1: np.int64(18), 2: np.int64(4), 3: np.int64(7)}","{(0, 2): [(np.int64(13), 4)]}","{(0, np.int64(13)): {'cpu': 10}, (1, np.int64(18)): {'cpu': 9}, (2, np.int64(4)): {'cpu': 18}, (3, np.int64(7)): {'cpu': 20}}","{((0, 2), (np.int64(13), 4)): {'bw': 43.0}}",0.0,0.0,236.0,57.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -64}, 1: {'cpu': -42}, 2: {'cpu': -35}, 3: {'cpu': -39}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 2), 0)])",0.0,0.0,4.0,1.0
9,4,4,770.0,1368.0,268728.12656641693,457316.967830983,0.5628654970760234,0.5876189721124333,12,8,1,112.0,45481.0,7045,38436.0,0.028677788501309753,0.02929588847358322,8,1270.1522428022445,112.0,6,8,False,"{5: np.int64(13), 0: np.int64(18), 2: np.int64(4), 1: np.int64(7), 4: np.int64(49), 3: np.int64(41)}","{(2, 5): [(np.int64(4), 13)], (1, 3): [(np.int64(7), 68), (68, np.int64(41))], (4, 5): [(np.int64(49), 33), (33, 95), (95, np.int64(13))], (0, 2): [(np.int64(18), 29), (29, 68), (68, np.int64(4))], (0, 5): [(np.int64(18), 46), (46, np.int64(13))], (0, 4): [(np.int64(18), 33), (33, np.int64(49))]}","{(5, np.int64(13)): {'cpu': 12}, (0, np.int64(18)): {'cpu': 15}, (2, np.int64(4)): {'cpu': 20}, (1, np.int64(7)): {'cpu': 6}, (4, np.int64(49)): {'cpu': 14}, (3, np.int64(41)): {'cpu': 16}}","{((2, 5), (np.int64(4), 13)): {'bw': 48.0}, ((1, 3), (np.int64(7), 68)): {'bw': 49.0}, ((1, 3), (68, np.int64(41))): {'bw': 49.0}, ((4, 5), (np.int64(49), 33)): {'bw': 33.0}, ((4, 5), (33, 95)): {'bw': 33.0}, ((4, 5), (95, np.int64(13))): {'bw': 33.0}, ((0, 2), (np.int64(18), 29)): {'bw': 34.0}, ((0, 2), (29, 68)): {'bw': 34.0}, ((0, 2), (68, np.int64(4))): {'bw': 34.0}, ((0, 5), (np.int64(18), 46)): {'bw': 27.0}, ((0, 5), (46, np.int64(13))): {'bw': 27.0}, ((0, 4), (np.int64(18), 33)): {'bw': 8.0}, ((0, 4), (33, np.int64(49))): {'bw': 8.0}}",0.0,0.0,302.0,83.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -62}, 0: {'cpu': -36}, 2: {'cpu': -33}, 1: {'cpu': -53}, 4: {'cpu': -59}, 3: {'cpu': -43}}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((2, 5), 0), ((1, 3), 0), ((4, 5), 0), ((0, 2), 0), ((0, 5), 0), ((0, 4), 0)])",1.0,0.0,6.0,6.0
10,4,4,770.0,1368.0,268728.12656641693,457316.967830983,0.5628654970760234,0.5876189721124333,12,9,1,126.0,45481.0,7045,38436.0,0.028677788501309753,0.02929588847358322,9,43.385244437624735,126.0,9,22,False,"{6: np.int64(13), 8: np.int64(18), 7: np.int64(4), 0: np.int64(7), 3: np.int64(49), 2: np.int64(41), 4: np.int64(91), 1: np.int64(38), 5: np.int64(77)}","{(0, 7): [(np.int64(7), 68), (68, np.int64(4))]}","{(6, np.int64(13)): {'cpu': 3}, (8, np.int64(18)): {'cpu': 3}, (7, np.int64(4)): {'cpu': 12, 'nic_slots': 1}, (0, np.int64(7)): {'cpu': 11, 'nic_slots': 1}, (3, np.int64(49)): {'cpu': 5}, (2, np.int64(41)): {'cpu': 6}, (4, np.int64(91)): {'cpu': 5}, (1, np.int64(38)): {'cpu': 18}, (5, np.int64(77)): {'cpu': 16}}","{((0, 7), (np.int64(7), 68)): {'bw': 49.0}, ((0, 7), (68, np.int64(4))): {'bw': 49.0}}",0.0,0.0,732.0,79.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -71}, 8: {'cpu': -48}, 7: {'cpu': -41}, 0: {'cpu': -48}, 3: {'cpu': -68}, 2: {'cpu': -53}, 4: {'cpu': -65}, 1: {'cpu': -56}, 5: {'cpu': -34}}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((0, 7), 1)])",0.0,1.0,9.0,1.0
